Czechia, Life tables (period 1x10), Females	Last modified: 23 May 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.03259  0.03174  0.17  100000    3174   97376  7038995  70.39
1950-1959        1      0.00304  0.00303  0.50   96826     294   96679  6941619  71.69
1950-1959        2      0.00158  0.00158  0.50   96532     152   96456  6844940  70.91
1950-1959        3      0.00101  0.00101  0.50   96380      97   96331  6748484  70.02
1950-1959        4      0.00076  0.00076  0.50   96283      73   96246  6652153  69.09
1950-1959        5      0.00057  0.00057  0.50   96210      55   96182  6555906  68.14
1950-1959        6      0.00049  0.00049  0.50   96155      47   96131  6459724  67.18
1950-1959        7      0.00047  0.00047  0.50   96107      45   96085  6363593  66.21
1950-1959        8      0.00036  0.00036  0.50   96062      35   96045  6267508  65.24
1950-1959        9      0.00034  0.00034  0.50   96027      33   96011  6171463  64.27
1950-1959       10      0.00035  0.00035  0.50   95995      34   95978  6075452  63.29
1950-1959       11      0.00037  0.00037  0.50   95961      35   95943  5979475  62.31
1950-1959       12      0.00041  0.00041  0.50   95926      40   95906  5883531  61.33
1950-1959       13      0.00043  0.00043  0.50   95886      41   95865  5787626  60.36
1950-1959       14      0.00045  0.00045  0.50   95845      44   95823  5691760  59.39
1950-1959       15      0.00050  0.00050  0.50   95801      48   95777  5595937  58.41
1950-1959       16      0.00056  0.00056  0.50   95753      54   95727  5500160  57.44
1950-1959       17      0.00067  0.00067  0.50   95700      64   95667  5404434  56.47
1950-1959       18      0.00075  0.00075  0.50   95635      72   95599  5308766  55.51
1950-1959       19      0.00079  0.00079  0.50   95564      75   95526  5213167  54.55
1950-1959       20      0.00079  0.00079  0.50   95488      76   95451  5117641  53.59
1950-1959       21      0.00090  0.00090  0.50   95413      86   95370  5022190  52.64
1950-1959       22      0.00090  0.00090  0.50   95327      86   95284  4926820  51.68
1950-1959       23      0.00101  0.00101  0.50   95241      96   95193  4831536  50.73
1950-1959       24      0.00090  0.00090  0.50   95145      86   95102  4736343  49.78
1950-1959       25      0.00106  0.00106  0.50   95059     101   95009  4641241  48.82
1950-1959       26      0.00107  0.00107  0.50   94958     102   94907  4546233  47.88
1950-1959       27      0.00109  0.00109  0.50   94856     104   94805  4451326  46.93
1950-1959       28      0.00104  0.00104  0.50   94753      99   94703  4356521  45.98
1950-1959       29      0.00112  0.00112  0.50   94654     106   94601  4261818  45.03
1950-1959       30      0.00125  0.00125  0.50   94548     118   94490  4167216  44.07
1950-1959       31      0.00130  0.00130  0.50   94431     123   94369  4072727  43.13
1950-1959       32      0.00128  0.00128  0.50   94308     121   94247  3978358  42.18
1950-1959       33      0.00138  0.00138  0.50   94187     130   94122  3884110  41.24
1950-1959       34      0.00146  0.00146  0.50   94057     137   93988  3789989  40.29
1950-1959       35      0.00163  0.00163  0.50   93920     153   93844  3696000  39.35
1950-1959       36      0.00174  0.00174  0.50   93767     163   93686  3602157  38.42
1950-1959       37      0.00178  0.00178  0.50   93604     167   93521  3508471  37.48
1950-1959       38      0.00203  0.00203  0.50   93437     190   93342  3414950  36.55
1950-1959       39      0.00224  0.00224  0.50   93248     209   93143  3321608  35.62
1950-1959       40      0.00237  0.00237  0.50   93039     220   92929  3228465  34.70
1950-1959       41      0.00248  0.00248  0.50   92818     230   92703  3135536  33.78
1950-1959       42      0.00270  0.00270  0.50   92588     250   92463  3042833  32.86
1950-1959       43      0.00294  0.00294  0.50   92338     271   92202  2950370  31.95
1950-1959       44      0.00302  0.00302  0.50   92067     278   91928  2858167  31.04
1950-1959       45      0.00343  0.00342  0.50   91789     314   91632  2766239  30.14
1950-1959       46      0.00358  0.00358  0.50   91475     327   91311  2674607  29.24
1950-1959       47      0.00389  0.00389  0.50   91148     354   90970  2583296  28.34
1950-1959       48      0.00426  0.00425  0.50   90793     386   90600  2492326  27.45
1950-1959       49      0.00485  0.00483  0.50   90408     437   90189  2401725  26.57
1950-1959       50      0.00515  0.00514  0.50   89971     462   89739  2311536  25.69
1950-1959       51      0.00572  0.00570  0.50   89508     510   89253  2221797  24.82
1950-1959       52      0.00604  0.00603  0.50   88998     536   88729  2132544  23.96
1950-1959       53      0.00685  0.00683  0.50   88461     604   88159  2043814  23.10
1950-1959       54      0.00740  0.00738  0.50   87857     648   87533  1955655  22.26
1950-1959       55      0.00809  0.00805  0.50   87209     702   86858  1868122  21.42
1950-1959       56      0.00899  0.00895  0.50   86506     774   86119  1781265  20.59
1950-1959       57      0.00959  0.00954  0.50   85732     818   85323  1695145  19.77
1950-1959       58      0.01037  0.01031  0.50   84914     876   84477  1609822  18.96
1950-1959       59      0.01186  0.01179  0.50   84039     991   83543  1525345  18.15
1950-1959       60      0.01295  0.01287  0.50   83048    1069   82513  1441802  17.36
1950-1959       61      0.01466  0.01456  0.50   81979    1193   81382  1359289  16.58
1950-1959       62      0.01622  0.01609  0.50   80786    1300   80136  1277906  15.82
1950-1959       63      0.01771  0.01755  0.50   79486    1395   78788  1197771  15.07
1950-1959       64      0.02011  0.01991  0.50   78091    1555   77313  1118982  14.33
1950-1959       65      0.02278  0.02252  0.50   76536    1724   75674  1041669  13.61
1950-1959       66      0.02511  0.02480  0.50   74812    1855   73885   965995  12.91
1950-1959       67      0.02865  0.02825  0.50   72957    2061   71927   892111  12.23
1950-1959       68      0.03195  0.03145  0.50   70896    2229   69781   820184  11.57
1950-1959       69      0.03585  0.03522  0.50   68667    2418   67458   750402  10.93
