East Germany, Life tables (period 1x5), Females	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.03995  0.03871  0.20  100000    3871   96910  7079859  70.80
1956-1959        1      0.00339  0.00339  0.50   96129     326   95966  6982949  72.64
1956-1959        2      0.00156  0.00156  0.50   95803     150   95729  6886983  71.89
1956-1959        3      0.00101  0.00101  0.50   95654      97   95605  6791255  71.00
1956-1959        4      0.00081  0.00081  0.50   95557      77   95518  6695649  70.07
1956-1959        5      0.00064  0.00064  0.50   95480      61   95449  6600131  69.13
1956-1959        6      0.00045  0.00045  0.50   95418      43   95397  6504682  68.17
1956-1959        7      0.00048  0.00048  0.50   95375      45   95353  6409285  67.20
1956-1959        8      0.00035  0.00035  0.50   95330      34   95313  6313932  66.23
1956-1959        9      0.00039  0.00039  0.50   95296      37   95278  6218619  65.26
1956-1959       10      0.00038  0.00038  0.50   95259      36   95241  6123341  64.28
1956-1959       11      0.00038  0.00038  0.50   95223      36   95205  6028101  63.31
1956-1959       12      0.00036  0.00036  0.50   95187      34   95170  5932896  62.33
1956-1959       13      0.00042  0.00042  0.50   95153      40   95133  5837726  61.35
1956-1959       14      0.00040  0.00040  0.50   95113      38   95094  5742593  60.38
1956-1959       15      0.00047  0.00047  0.50   95075      45   95053  5647499  59.40
1956-1959       16      0.00054  0.00054  0.50   95030      51   95005  5552446  58.43
1956-1959       17      0.00060  0.00060  0.50   94979      57   94951  5457441  57.46
1956-1959       18      0.00060  0.00060  0.50   94922      57   94894  5362491  56.49
1956-1959       19      0.00078  0.00078  0.50   94865      74   94828  5267597  55.53
1956-1959       20      0.00075  0.00075  0.50   94791      71   94756  5172769  54.57
1956-1959       21      0.00081  0.00081  0.50   94720      77   94682  5078013  53.61
1956-1959       22      0.00083  0.00083  0.50   94644      79   94604  4983331  52.65
1956-1959       23      0.00088  0.00088  0.50   94565      83   94523  4888727  51.70
1956-1959       24      0.00087  0.00087  0.50   94481      83   94440  4794204  50.74
1956-1959       25      0.00088  0.00088  0.50   94399      83   94357  4699764  49.79
1956-1959       26      0.00101  0.00101  0.50   94316      95   94268  4605406  48.83
1956-1959       27      0.00107  0.00107  0.50   94221     101   94171  4511138  47.88
1956-1959       28      0.00094  0.00094  0.50   94120      89   94076  4416967  46.93
1956-1959       29      0.00110  0.00110  0.50   94032     103   93980  4322891  45.97
1956-1959       30      0.00122  0.00122  0.50   93929     115   93871  4228911  45.02
1956-1959       31      0.00120  0.00120  0.50   93814     113   93757  4135040  44.08
1956-1959       32      0.00141  0.00140  0.50   93701     132   93635  4041282  43.13
1956-1959       33      0.00137  0.00137  0.50   93570     128   93505  3947647  42.19
1956-1959       34      0.00161  0.00161  0.50   93441     150   93366  3854142  41.25
1956-1959       35      0.00160  0.00160  0.50   93291     149   93216  3760775  40.31
1956-1959       36      0.00179  0.00179  0.50   93142     167   93058  3667559  39.38
1956-1959       37      0.00186  0.00186  0.50   92975     173   92888  3574501  38.45
1956-1959       38      0.00205  0.00205  0.50   92802     190   92707  3481612  37.52
1956-1959       39      0.00209  0.00208  0.50   92612     193   92515  3388906  36.59
1956-1959       40      0.00220  0.00220  0.50   92419     203   92317  3296390  35.67
1956-1959       41      0.00252  0.00251  0.50   92216     232   92100  3204073  34.75
1956-1959       42      0.00268  0.00268  0.50   91984     246   91861  3111974  33.83
1956-1959       43      0.00292  0.00292  0.50   91738     268   91604  3020113  32.92
1956-1959       44      0.00298  0.00298  0.50   91470     272   91334  2928509  32.02
1956-1959       45      0.00328  0.00327  0.50   91197     298   91048  2837175  31.11
1956-1959       46      0.00349  0.00349  0.50   90899     317   90741  2746127  30.21
1956-1959       47      0.00382  0.00382  0.50   90582     346   90409  2655387  29.31
1956-1959       48      0.00406  0.00405  0.50   90236     366   90053  2564977  28.43
1956-1959       49      0.00433  0.00432  0.50   89870     388   89676  2474924  27.54
1956-1959       50      0.00488  0.00486  0.50   89482     435   89264  2385248  26.66
1956-1959       51      0.00513  0.00512  0.50   89047     456   88819  2295983  25.78
1956-1959       52      0.00546  0.00544  0.50   88591     482   88350  2207165  24.91
1956-1959       53      0.00607  0.00605  0.50   88109     533   87842  2118815  24.05
1956-1959       54      0.00658  0.00656  0.50   87575     575   87288  2030973  23.19
1956-1959       55      0.00716  0.00714  0.50   87001     621   86690  1943685  22.34
1956-1959       56      0.00799  0.00795  0.50   86380     687   86036  1856995  21.50
1956-1959       57      0.00859  0.00855  0.50   85693     733   85327  1770959  20.67
1956-1959       58      0.00913  0.00909  0.50   84960     772   84574  1685632  19.84
1956-1959       59      0.01015  0.01010  0.50   84188     850   83763  1601058  19.02
1956-1959       60      0.01150  0.01143  0.50   83338     953   82862  1517294  18.21
1956-1959       61      0.01240  0.01232  0.50   82386    1015   81878  1434432  17.41
1956-1959       62      0.01390  0.01381  0.50   81371    1123   80809  1352554  16.62
1956-1959       63      0.01566  0.01554  0.50   80247    1247   79624  1271745  15.85
1956-1959       64      0.01684  0.01670  0.50   79000    1320   78340  1192121  15.09
1956-1959       65      0.01923  0.01905  0.50   77681    1480   76941  1113781  14.34
1956-1959       66      0.02137  0.02114  0.50   76201    1611   75395  1036840  13.61
1956-1959       67      0.02391  0.02363  0.50   74590    1763   73708   961444  12.89
1956-1959       68      0.02696  0.02661  0.50   72827    1938   71858   887736  12.19
1956-1959       69      0.03079  0.03033  0.50   70890    2150   69815   815878  11.51
1956-1959       70      0.03503  0.03443  0.50   68740    2367   67557   746063  10.85
1956-1959       71      0.03919  0.03844  0.50   66373    2551   65098   678506  10.22
1956-1959       72      0.04466  0.04368  0.50   63822    2788   62428   613409   9.61
1956-1959       73      0.05046  0.04921  0.50   61034    3004   59532   550981   9.03
1956-1959       74      0.05672  0.05515  0.50   58030    3201   56430   491448   8.47
1956-1959       75      0.06404  0.06205  0.50   54830    3402   53129   435018   7.93
1956-1959       76      0.07112  0.06868  0.50   51427    3532   49661   381889   7.43
1956-1959       77      0.08079  0.07765  0.50   47895    3719   46036   332228   6.94
1956-1959       78      0.08975  0.08589  0.50   44176    3794   42279   286192   6.48
1956-1959       79      0.10203  0.09708  0.50   40382    3920   38422   243913   6.04
1956-1959       80      0.11508  0.10882  0.50   36461    3968   34478   205492   5.64
1956-1959       81      0.12822  0.12050  0.50   32494    3915   30536   171014   5.26
1956-1959       82      0.14335  0.13377  0.50   28578    3823   26667   140478   4.92
1956-1959       83      0.15576  0.14451  0.50   24756    3577   22967   113811   4.60
1956-1959       84      0.17465  0.16063  0.50   21178    3402   19477    90844   4.29
1956-1959       85      0.19117  0.17449  0.50   17776    3102   16225    71367   4.01
1956-1959       86      0.21138  0.19118  0.50   14675    2805   13272    55141   3.76
