New Zealand, Life tables (period 5x5), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.03297  0.03205  0.14  100000    3205   97230  6711666  67.12
1948-1949      1-4      0.00251  0.00999  1.48   96795     967  384737  6614436  68.33
1948-1949      5-9      0.00086  0.00430  2.08   95828     412  477934  6229699  65.01
1948-1949     10-14     0.00100  0.00498  2.54   95415     475  475905  5751765  60.28
1948-1949     15-19     0.00159  0.00791  2.79   94940     751  473040  5275861  55.57
1948-1949     20-24     0.00198  0.00985  2.45   94189     928  468579  4802820  50.99
1948-1949     25-29     0.00163  0.00814  2.43   93262     759  464355  4334242  46.47
1948-1949     30-34     0.00187  0.00932  2.51   92503     862  460368  3869886  41.84
1948-1949     35-39     0.00244  0.01211  2.60   91640    1110  455537  3409518  37.21
1948-1949     40-44     0.00335  0.01660  2.59   90531    1502  449036  2953981  32.63
1948-1949     45-49     0.00592  0.02921  2.77   89028    2600  439346  2504945  28.14
1948-1949     50-54     0.00966  0.04724  2.71   86428    4082  422771  2065599  23.90
1948-1949     55-59     0.01449  0.07014  2.73   82345    5776  398598  1642828  19.95
1948-1949     60-64     0.02420  0.11456  2.68   76570    8772  362465  1244230  16.25
1948-1949     65-69     0.03731  0.17076  2.52   67798   11577  310274   881765  13.01
1948-1949     70-74     0.05967  0.26212  2.68   56221   14737  246955   571491  10.17
1948-1949     75-79     0.09104  0.37252  2.56   41484   15454  169751   324536   7.82
1948-1949     80-84     0.12889  0.48518  2.45   26030   12629   97989   154785   5.95
1948-1949     85-89     0.20954  0.66303  2.23   13401    8885   42403    56796   4.24
1948-1949     90-94     0.29364  0.78693  2.05    4516    3554   12102    14393   3.19
1948-1949     95-99     0.40841  0.88684  1.81     962     853    2089     2291   2.38
1948-1949    100-104    0.53432  0.94384  1.57     109     103     192      202   1.85
1948-1949    105-109    0.65694  0.97167  1.38       6       6       9        9   1.52
1948-1949    110+       0.74927  1.00000  1.33       0       0       0        0   1.33
1950-1954        0      0.03066  0.02986  0.13  100000    2986   97397  6755441  67.55
1950-1954      1-4      0.00186  0.00742  1.50   97014     720  386257  6658044  68.63
1950-1954      5-9      0.00072  0.00359  2.38   96294     346  480564  6271787  65.13
1950-1954     10-14     0.00068  0.00340  2.57   95948     326  478951  5791223  60.36
1950-1954     15-19     0.00149  0.00741  2.78   95622     708  476539  5312272  55.55
1950-1954     20-24     0.00200  0.00995  2.40   94914     944  472120  4835732  50.95
1950-1954     25-29     0.00175  0.00869  2.49   93970     816  467802  4363612  46.44
1950-1954     30-34     0.00185  0.00920  2.52   93154     857  463646  3895810  41.82
1950-1954     35-39     0.00247  0.01230  2.62   92296    1135  458783  3432165  37.19
1950-1954     40-44     0.00332  0.01645  2.67   91161    1500  452305  2973382  32.62
1950-1954     45-49     0.00562  0.02777  2.76   89662    2490  442728  2521077  28.12
1950-1954     50-54     0.00927  0.04539  2.74   87172    3956  426915  2078349  23.84
1950-1954     55-59     0.01541  0.07445  2.72   83215    6196  401937  1651434  19.85
1950-1954     60-64     0.02446  0.11568  2.66   77020    8910  364278  1249497  16.22
1950-1954     65-69     0.03812  0.17428  2.54   68110   11870  311406   885219  13.00
1950-1954     70-74     0.05783  0.25402  2.61   56239   14286  247029   573812  10.20
1950-1954     75-79     0.09133  0.37141  2.49   41953   15582  170617   326783   7.79
1950-1954     80-84     0.13221  0.49447  2.45   26371   13040   98629   156166   5.92
1950-1954     85-89     0.20844  0.66209  2.25   13331    8827   42346    57537   4.32
1950-1954     90-94     0.27393  0.76717  2.13    4505    3456   12616    15191   3.37
1950-1954     95-99     0.39537  0.87763  1.83    1049     921    2328     2575   2.45
1950-1954    100-104    0.51400  0.93661  1.61     128     120     234      247   1.92
1950-1954    105-109    0.63179  0.96712  1.41       8       8      12       13   1.58
1950-1954    110+       0.72242  1.00000  1.38       0       0       0        0   1.38
1955-1959        0      0.02759  0.02694  0.12  100000    2694   97625  6820053  68.20
1955-1959      1-4      0.00157  0.00625  1.50   97306     608  387709  6722428  69.09
1955-1959      5-9      0.00065  0.00324  2.28   96699     313  482640  6334719  65.51
1955-1959     10-14     0.00057  0.00285  2.60   96385     274  481268  5852079  60.72
1955-1959     15-19     0.00131  0.00655  2.85   96111     630  479198  5370811  55.88
1955-1959     20-24     0.00178  0.00886  2.40   95481     846  475207  4891613  51.23
1955-1959     25-29     0.00158  0.00788  2.45   94635     746  471270  4416406  46.67
1955-1959     30-34     0.00172  0.00855  2.50   93889     803  467436  3945136  42.02
1955-1959     35-39     0.00214  0.01064  2.66   93086     990  463113  3477700  37.36
1955-1959     40-44     0.00301  0.01493  2.68   92096    1375  457286  3014587  32.73
1955-1959     45-49     0.00531  0.02623  2.72   90721    2380  448173  2557301  28.19
1955-1959     50-54     0.00870  0.04264  2.72   88341    3767  433106  2109129  23.87
1955-1959     55-59     0.01504  0.07264  2.68   84574    6144  408591  1676023  19.82
1955-1959     60-64     0.02403  0.11377  2.67   78430    8923  371388  1267432  16.16
1955-1959     65-69     0.03819  0.17471  2.56   69507   12143  317947   896044  12.89
1955-1959     70-74     0.05954  0.26052  2.60   57364   14944  251009   578098  10.08
1955-1959     75-79     0.09374  0.37993  2.51   42420   16117  171924   327089   7.71
1955-1959     80-84     0.13286  0.49531  2.43   26303   13028   98063   155165   5.90
1955-1959     85-89     0.20654  0.65445  2.20   13275    8688   42063    57102   4.30
1955-1959     90-94     0.28334  0.77671  2.09    4587    3563   12574    15039   3.28
1955-1959     95-99     0.40399  0.88358  1.82    1024     905    2240     2465   2.41
1955-1959    100-104    0.52551  0.94072  1.59     119     112     213      224   1.88
1955-1959    105-109    0.64489  0.96954  1.39       7       7      11       11   1.54
1955-1959    110+       0.73582  1.00000  1.36       0       0       0        0   1.36
1960-1964        0      0.02431  0.02380  0.11  100000    2380   97876  6850582  68.51
1960-1964      1-4      0.00133  0.00530  1.50   97620     517  389187  6752705  69.17
