New Zealand, Life tables (period 1x5), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.03297  0.03205  0.14  100000    3205   97230  6711666  67.12
1948-1949        1      0.00453  0.00452  0.50   96795     437   96576  6614436  68.33
1948-1949        2      0.00247  0.00246  0.50   96357     237   96239  6517860  67.64
1948-1949        3      0.00178  0.00178  0.50   96120     171   96034  6421621  66.81
1948-1949        4      0.00126  0.00126  0.50   95949     121   95888  6325587  65.93
1948-1949        5      0.00138  0.00138  0.50   95828     133   95761  6229699  65.01
1948-1949        6      0.00091  0.00091  0.50   95695      87   95652  6133938  64.10
1948-1949        7      0.00068  0.00068  0.50   95608      65   95576  6038286  63.16
1948-1949        8      0.00082  0.00082  0.50   95544      78   95505  5942710  62.20
1948-1949        9      0.00053  0.00053  0.50   95466      51   95440  5847206  61.25
1948-1949       10      0.00094  0.00093  0.50   95415      89   95371  5751765  60.28
1948-1949       11      0.00113  0.00112  0.50   95326     107   95272  5656395  59.34
1948-1949       12      0.00091  0.00091  0.50   95219      87   95175  5561123  58.40
1948-1949       13      0.00086  0.00086  0.50   95132      81   95091  5465947  57.46
1948-1949       14      0.00117  0.00116  0.50   95051     111   94995  5370856  56.51
1948-1949       15      0.00109  0.00109  0.50   94940     103   94888  5275861  55.57
1948-1949       16      0.00141  0.00141  0.50   94836     133   94770  5180973  54.63
1948-1949       17      0.00159  0.00159  0.50   94703     151   94628  5086203  53.71
1948-1949       18      0.00179  0.00178  0.50   94552     169   94468  4991575  52.79
1948-1949       19      0.00206  0.00206  0.50   94384     195   94287  4897107  51.89
1948-1949       20      0.00202  0.00202  0.50   94189     190   94094  4802820  50.99
1948-1949       21      0.00190  0.00190  0.50   93999     179   93910  4708726  50.09
1948-1949       22      0.00245  0.00245  0.50   93820     230   93705  4614817  49.19
1948-1949       23      0.00157  0.00157  0.50   93591     147   93517  4521111  48.31
1948-1949       24      0.00195  0.00195  0.50   93443     182   93352  4427594  47.38
1948-1949       25      0.00154  0.00154  0.50   93262     143   93190  4334242  46.47
1948-1949       26      0.00179  0.00179  0.50   93118     167   93035  4241052  45.54
1948-1949       27      0.00183  0.00183  0.50   92952     170   92867  4148017  44.63
1948-1949       28      0.00172  0.00172  0.50   92782     160   92702  4055150  43.71
1948-1949       29      0.00129  0.00129  0.50   92622     119   92562  3962449  42.78
1948-1949       30      0.00181  0.00180  0.50   92503     167   92419  3869886  41.84
1948-1949       31      0.00170  0.00170  0.50   92336     157   92257  3777467  40.91
1948-1949       32      0.00202  0.00202  0.50   92179     186   92086  3685210  39.98
1948-1949       33      0.00221  0.00221  0.50   91993     203   91891  3593124  39.06
1948-1949       34      0.00163  0.00162  0.50   91790     149   91715  3501233  38.14
1948-1949       35      0.00225  0.00225  0.50   91640     206   91537  3409518  37.21
1948-1949       36      0.00257  0.00257  0.50   91434     235   91317  3317981  36.29
1948-1949       37      0.00196  0.00196  0.50   91199     179   91110  3226664  35.38
1948-1949       38      0.00246  0.00245  0.50   91020     223   90909  3135554  34.45
1948-1949       39      0.00294  0.00293  0.50   90797     266   90664  3044645  33.53
1948-1949       40      0.00285  0.00284  0.50   90531     257   90402  2953981  32.63
1948-1949       41      0.00271  0.00270  0.50   90274     244   90152  2863579  31.72
1948-1949       42      0.00448  0.00447  0.50   90030     402   89829  2773427  30.81
1948-1949       43      0.00337  0.00337  0.50   89628     302   89477  2683599  29.94
1948-1949       44      0.00334  0.00333  0.50   89326     297   89177  2594122  29.04
1948-1949       45      0.00528  0.00527  0.50   89028     469   88794  2504945  28.14
1948-1949       46      0.00436  0.00435  0.50   88559     385   88366  2416151  27.28
1948-1949       47      0.00443  0.00442  0.50   88174     389   87979  2327785  26.40
1948-1949       48      0.00782  0.00779  0.50   87784     684   87442  2239806  25.51
1948-1949       49      0.00775  0.00772  0.50   87100     673   86764  2152363  24.71
1948-1949       50      0.00908  0.00904  0.50   86428     782   86037  2065599  23.90
1948-1949       51      0.00663  0.00661  0.50   85646     566   85363  1979562  23.11
1948-1949       52      0.01013  0.01008  0.50   85081     857   84652  1894198  22.26
1948-1949       53      0.00942  0.00938  0.50   84223     790   83829  1809546  21.49
1948-1949       54      0.01313  0.01304  0.50   83434    1088   82890  1725718  20.68
1948-1949       55      0.01037  0.01032  0.50   82345     850   81921  1642828  19.95
1948-1949       56      0.01340  0.01331  0.50   81496    1085   80953  1560908  19.15
1948-1949       57      0.01382  0.01372  0.50   80411    1104   79859  1479954  18.40
1948-1949       58      0.01757  0.01742  0.50   79308    1382   78617  1400095  17.65
1948-1949       59      0.01756  0.01741  0.50   77926    1356   77248  1321478  16.96
1948-1949       60      0.02125  0.02103  0.50   76570    1610   75764  1244230  16.25
1948-1949       61      0.01926  0.01908  0.50   74959    1430   74244  1168466  15.59
1948-1949       62      0.02227  0.02203  0.50   73529    1620   72719  1094222  14.88
1948-1949       63      0.02858  0.02817  0.50   71910    2026   70897  1021503  14.21
1948-1949       64      0.03030  0.02984  0.50   69884    2086   68841   950606  13.60
1948-1949       65      0.03734  0.03666  0.50   67798    2485   66555   881765  13.01
1948-1949       66      0.03263  0.03211  0.50   65313    2097   64264   815210  12.48
1948-1949       67      0.03438  0.03380  0.50   63215    2137   62147   750946  11.88
1948-1949       68      0.04043  0.03963  0.50   61079    2421   59869   688799  11.28
1948-1949       69      0.04244  0.04155  0.50   58658    2438   57439   628930  10.72
1948-1949       70      0.04817  0.04704  0.50   56221    2644   54898   571491  10.17
1948-1949       71      0.04487  0.04388  0.50   53576    2351   52401   516592   9.64
1948-1949       72      0.05808  0.05644  0.50   51225    2891   49780   464192   9.06
1948-1949       73      0.07217  0.06966  0.50   48334    3367   46650   414412   8.57
1948-1949       74      0.08058  0.07746  0.50   44967    3483   43226   367762   8.18
1948-1949       75      0.06881  0.06653  0.50   41484    2760   40104   324536   7.82
1948-1949       76      0.08997  0.08610  0.50   38724    3334   37057   284432   7.35
1948-1949       77      0.08056  0.07744  0.50   35390    2741   34020   247375   6.99
1948-1949       78      0.11049  0.10471  0.50   32649    3419   30940   213355   6.53
1948-1949       79      0.11582  0.10948  0.50   29231    3200   27631   182415   6.24
1948-1949       80      0.11087  0.10505  0.50   26030    2734   24663   154785   5.95
1948-1949       81      0.10946  0.10378  0.50   23296    2418   22087   130121   5.59
1948-1949       82      0.13045  0.12246  0.50   20878    2557   19600   108034   5.17
1948-1949       83      0.14924  0.13888  0.50   18322    2545   17049    88434   4.83
1948-1949       84      0.16287  0.15060  0.50   15777    2376   14589    71385   4.52
1948-1949       85      0.16454  0.15203  0.50   13401    2037   12382    56796   4.24
1948-1949       86      0.22925  0.20567  0.50   11364    2337   10195    44413   3.91
