The United States of America, Life tables (period 5x10), Males	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1939        0      0.06799  0.06470  0.25  100000    6470   95148  5933542  59.34
1933-1939      1-4      0.00470  0.01858  1.42   93530    1738  369630  5838395  62.42
1933-1939      5-9      0.00165  0.00821  2.33   91793     754  456951  5468765  59.58
1933-1939     10-14     0.00145  0.00723  2.62   91039     659  453622  5011813  55.05
1933-1939     15-19     0.00239  0.01190  2.69   90380    1076  449413  4558191  50.43
1933-1939     20-24     0.00330  0.01636  2.56   89304    1461  442964  4108778  46.01
1933-1939     25-29     0.00372  0.01844  2.54   87843    1620  435230  3665815  41.73
1933-1939     30-34     0.00444  0.02194  2.59   86223    1892  426560  3230584  37.47
1933-1939     35-39     0.00596  0.02938  2.60   84331    2477  415721  2804024  33.25
1933-1939     40-44     0.00787  0.03862  2.60   81854    3161  401692  2388303  29.18
1933-1939     45-49     0.01107  0.05391  2.62   78692    4242  383386  1986611  25.25
1933-1939     50-54     0.01582  0.07622  2.60   74450    5675  358629  1603226  21.53
1933-1939     55-59     0.02163  0.10280  2.59   68775    7070  326843  1244597  18.10
1933-1939     60-64     0.03134  0.14572  2.59   61705    8992  286861   917754  14.87
1933-1939     65-69     0.04588  0.20630  2.56   52714   10875  237046   630892  11.97
1933-1939     70-74     0.06813  0.29161  2.53   41839   12201  179086   393847   9.41
1933-1939     75-79     0.10227  0.40591  2.46   29638   12031  117632   214761   7.25
1933-1939     80-84     0.14960  0.53617  2.36   17608    9441   63106    97128   5.52
1933-1939     85-89     0.21888  0.67843  2.20    8167    5541   25314    34023   4.17
1933-1939     90-94     0.28259  0.76224  1.98    2626    2002    7084     8709   3.32
1933-1939     95-99     0.37235  0.85877  1.86     624     536    1440     1625   2.60
1933-1939    100-104    0.46932  0.91699  1.68      88      81     172      185   2.10
1933-1939    105-109    0.56895  0.95216  1.51       7       7      12       13   1.75
1933-1939    110+       0.64856  1.00000  1.54       0       0       1        1   1.54
1940-1949        0      0.04779  0.04599  0.18  100000    4599   96247  6310348  63.10
1940-1949      1-4      0.00225  0.00897  1.52   95401     855  379478  6214100  65.14
1940-1949      5-9      0.00103  0.00512  2.39   94545     484  471462  5834623  61.71
1940-1949     10-14     0.00098  0.00489  2.65   94061     460  469223  5363160  57.02
1940-1949     15-19     0.00183  0.00910  2.79   93601     852  466124  4893938  52.29
1940-1949     20-24     0.00272  0.01352  2.52   92749    1254  460638  4427813  47.74
1940-1949     25-29     0.00265  0.01319  2.51   91496    1206  454474  3967175  43.36
1940-1949     30-34     0.00317  0.01571  2.60   90289    1419  448039  3512701  38.91
1940-1949     35-39     0.00429  0.02124  2.63   88870    1887  439872  3064662  34.48
1940-1949     40-44     0.00621  0.03062  2.65   86983    2663  428643  2624790  30.18
1940-1949     45-49     0.00931  0.04555  2.65   84319    3841  412572  2196147  26.05
1940-1949     50-54     0.01439  0.06956  2.64   80479    5598  389171  1783575  22.16
1940-1949     55-59     0.02122  0.10097  2.60   74880    7561  356293  1394403  18.62
1940-1949     60-64     0.02977  0.13880  2.57   67320    9344  313884  1038110  15.42
1940-1949     65-69     0.04212  0.19099  2.56   57976   11073  262903   724226  12.49
1940-1949     70-74     0.06295  0.27263  2.55   46903   12787  203142   461323   9.84
1940-1949     75-79     0.09526  0.38370  2.47   34116   13090  137420   258181   7.57
1940-1949     80-84     0.14070  0.51425  2.38   21026   10813   76851   120761   5.74
1940-1949     85-89     0.20839  0.66093  2.23   10213    6750   32392    43910   4.30
1940-1949     90-94     0.28144  0.76221  1.99    3463    2640    9379    11518   3.33
1940-1949     95-99     0.37256  0.85962  1.87     823     708    1900     2139   2.60
1940-1949    100-104    0.47563  0.92034  1.67     116     106     224      239   2.07
1940-1949    105-109    0.58119  0.95564  1.49       9       9      15       16   1.71
1940-1949    110+       0.66507  1.00000  1.50       0       0       1        1   1.50
1950-1959        0      0.03333  0.03240  0.14  100000    3240   97204  6618696  66.19
1950-1959      1-4      0.00131  0.00521  1.58   96760     504  385820  6521492  67.40
1950-1959      5-9      0.00062  0.00307  2.35   96256     296  480496  6135672  63.74
1950-1959     10-14     0.00063  0.00313  2.74   95960     301  479122  5655176  58.93
1950-1959     15-19     0.00140  0.00699  2.77   95660     669  476804  5176054  54.11
1950-1959     20-24     0.00198  0.00983  2.50   94991     934  472620  4699251  49.47
1950-1959     25-29     0.00186  0.00924  2.50   94057     869  468114  4226630  44.94
1950-1959     30-34     0.00216  0.01073  2.59   93187    1000  463532  3758516  40.33
1950-1959     35-39     0.00303  0.01502  2.67   92188    1385  457715  3294985  35.74
1950-1959     40-44     0.00490  0.02421  2.68   90803    2198  448917  2837270  31.25
1950-1959     45-49     0.00783  0.03843  2.68   88605    3405  435111  2388353  26.96
1950-1959     50-54     0.01268  0.06156  2.66   85200    5245  413707  1953242  22.93
1950-1959     55-59     0.01902  0.09098  2.61   79955    7274  382405  1539535  19.26
1950-1959     60-64     0.02828  0.13244  2.60   72680    9626  340336  1157129  15.92
1950-1959     65-69     0.04090  0.18587  2.55   63054   11720  286509   816793  12.95
1950-1959     70-74     0.05858  0.25601  2.54   51334   13142  224338   530284  10.33
1950-1959     75-79     0.08651  0.35514  2.48   38192   13564  156788   305945   8.01
1950-1959     80-84     0.13014  0.48652  2.41   24629   11982   92072   149157   6.06
1950-1959     85-89     0.19434  0.63321  2.25   12647    8008   41206    57085   4.51
1950-1959     90-94     0.27223  0.75825  2.08    4639    3517   12920    15878   3.42
1950-1959     95-99     0.36591  0.85501  1.89    1121     959    2620     2958   2.64
1950-1959    100-104    0.47367  0.91992  1.68     163     150     316      338   2.08
1950-1959    105-109    0.58435  0.95669  1.48      13      12      21       22   1.70
1950-1959    110+       0.67214  1.00000  1.49       1       1       1        1   1.49
1960-1969        0      0.02788  0.02721  0.12  100000    2721   97603  6675569  66.76
1960-1969      1-4      0.00107  0.00425  1.63   97279     414  388133  6577966  67.62
1960-1969      5-9      0.00052  0.00259  2.34   96865     251  483658  6189833  63.90
1960-1969     10-14     0.00052  0.00261  2.75   96614     252  482504  5706174  59.06
1960-1969     15-19     0.00142  0.00705  2.87   96362     680  480361  5223670  54.21
1960-1969     20-24     0.00195  0.00968  2.48   95682     927  476079  4743309  49.57
1960-1969     25-29     0.00185  0.00921  2.51   94756     873  471602  4267231  45.03
1960-1969     30-34     0.00212  0.01052  2.60   93883     988  467048  3795629  40.43
1960-1969     35-39     0.00301  0.01495  2.66   92895    1388  461228  3328581  35.83
1960-1969     40-44     0.00469  0.02322  2.68   91507    2125  452594  2867353  31.33
1960-1969     45-49     0.00757  0.03718  2.68   89382    3323  439189  2414759  27.02
1960-1969     50-54     0.01223  0.05942  2.65   86059    5114  418279  1975570  22.96
1960-1969     55-59     0.01844  0.08837  2.64   80945    7153  387842  1557291  19.24
1960-1969     60-64     0.02872  0.13435  2.60   73792    9914  345213  1169449  15.85
1960-1969     65-69     0.04148  0.18818  2.54   63878   12021  289817   824235  12.90
1960-1969     70-74     0.05907  0.25783  2.54   51858   13370  226365   534419  10.31
1960-1969     75-79     0.08683  0.35622  2.48   38487   13710  157893   308053   8.00
1960-1969     80-84     0.12983  0.48578  2.41   24777   12036   92711   150161   6.06
1960-1969     85-89     0.19388  0.63286  2.26   12741    8063   41590    57450   4.51
1960-1969     90-94     0.27500  0.76223  2.08    4678    3565   12965    15860   3.39
1960-1969     95-99     0.37122  0.85944  1.88    1112     956    2575     2895   2.60
1960-1969    100-104    0.48168  0.92358  1.66     156     144     300      320   2.05
1960-1969    105-109    0.59444  0.95917  1.47      12      11      19       20   1.67
1960-1969    110+       0.68335  1.00000  1.46       0       0       1        1   1.46
1970-1979        0      0.01861  0.01831  0.11  100000    1831   98374  6845140  68.45
1970-1979      1-4      0.00083  0.00330  1.68   98169     324  391925  6746766  68.73
1970-1979      5-9      0.00044  0.00218  2.34   97845     214  488658  6354840  64.95
1970-1979     10-14     0.00046  0.00232  2.80   97632     227  487660  5866182  60.08
1970-1979     15-19     0.00150  0.00749  2.90   97405     729  485491  5378522  55.22
1970-1979     20-24     0.00208  0.01034  2.49   96676    1000  480869  4893031  50.61
1970-1979     25-29     0.00194  0.00965  2.48   95676     923  476050  4412162  46.12
1970-1979     30-34     0.00206  0.01027  2.58   94752     973  471409  3936112  41.54
1970-1979     35-39     0.00280  0.01391  2.65   93779    1304  465828  3464702  36.95
1970-1979     40-44     0.00426  0.02110  2.68   92475    1951  457852  2998874  32.43
1970-1979     45-49     0.00684  0.03367  2.67   90524    3048  445505  2541023  28.07
1970-1979     50-54     0.01066  0.05198  2.64   87476    4547  426668  2095518  23.96
1970-1979     55-59     0.01651  0.07944  2.64   82929    6588  399106  1668850  20.12
1970-1979     60-64     0.02540  0.11968  2.60   76341    9137  359776  1269744  16.63
1970-1979     65-69     0.03713  0.17033  2.57   67204   11447  308249   909969  13.54
1970-1979     70-74     0.05587  0.24555  2.54   55758   13691  245043   601720  10.79
1970-1979     75-79     0.08025  0.33343  2.46   42067   14026  174776   356677   8.48
