Italy , Life tables (cohort 1x5), Total	Last modified: 22 May 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1874        0      0.25820  0.21897  0.31  100000   21897   84805  3636716  36.37
1872-1874        1      0.09824  0.09339  0.47   78103    7294   74247  3551912  45.48
1872-1874        2      0.07071  0.06829  0.50   70809    4835   68380  3477664  49.11
1872-1874        3      0.04782  0.04670  0.50   65974    3081   64429  3409284  51.68
1872-1874        4      0.03165  0.03115  0.50   62892    1959   61912  3344855  53.18
1872-1874        5      0.02255  0.02230  0.50   60933    1359   60260  3282943  53.88
1872-1874        6      0.01594  0.01582  0.50   59574     942   59106  3222683  54.10
1872-1874        7      0.01072  0.01066  0.50   58632     625   58320  3163577  53.96
1872-1874        8      0.00745  0.00742  0.51   58007     430   57795  3105258  53.53
1872-1874        9      0.00652  0.00650  0.51   57576     374   57392  3047463  52.93
1872-1874       10      0.00565  0.00563  0.50   57202     322   57042  2990071  52.27
1872-1874       11      0.00515  0.00514  0.51   56880     292   56737  2933028  51.56
1872-1874       12      0.00552  0.00551  0.51   56588     312   56435  2876292  50.83
1872-1874       13      0.00573  0.00572  0.51   56276     322   56117  2819857  50.11
1872-1874       14      0.00562  0.00560  0.50   55955     314   55799  2763739  49.39
1872-1874       15      0.00543  0.00542  0.51   55641     301   55492  2707941  48.67
1872-1874       16      0.00548  0.00547  0.51   55340     303   55191  2652449  47.93
1872-1874       17      0.00582  0.00580  0.51   55037     319   54880  2597258  47.19
1872-1874       18      0.00635  0.00633  0.51   54718     346   54547  2542378  46.46
1872-1874       19      0.00688  0.00686  0.51   54371     373   54187  2487830  45.76
1872-1874       20      0.00742  0.00740  0.50   53998     399   53800  2433643  45.07
1872-1874       21      0.00789  0.00786  0.50   53599     421   53390  2379843  44.40
1872-1874       22      0.00811  0.00808  0.50   53178     430   52963  2326454  43.75
1872-1874       23      0.00803  0.00800  0.50   52748     422   52537  2273490  43.10
1872-1874       24      0.00774  0.00771  0.50   52326     403   52125  2220953  42.44
1872-1874       25      0.00740  0.00737  0.50   51923     383   51732  2168828  41.77
1872-1874       26      0.00717  0.00715  0.50   51540     368   51356  2117096  41.08
1872-1874       27      0.00708  0.00705  0.50   51172     361   50992  2065740  40.37
1872-1874       28      0.00712  0.00710  0.50   50811     361   50631  2014748  39.65
1872-1874       29      0.00711  0.00708  0.50   50450     357   50272  1964117  38.93
1872-1874       30      0.00715  0.00712  0.50   50093     357   49916  1913844  38.21
1872-1874       31      0.00712  0.00709  0.50   49736     353   49560  1863929  37.48
1872-1874       32      0.00706  0.00704  0.50   49383     348   49210  1814369  36.74
1872-1874       33      0.00724  0.00721  0.51   49036     354   48861  1765158  36.00
1872-1874       34      0.00746  0.00743  0.50   48682     362   48503  1716297  35.26
1872-1874       35      0.00747  0.00744  0.50   48320     360   48142  1667794  34.52
1872-1874       36      0.00746  0.00744  0.50   47961     357   47784  1619653  33.77
1872-1874       37      0.00740  0.00737  0.50   47604     351   47429  1571869  33.02
1872-1874       38      0.00734  0.00731  0.50   47253     346   47081  1524440  32.26
1872-1874       39      0.00722  0.00720  0.50   46907     338   46738  1477359  31.50
1872-1874       40      0.00725  0.00722  0.51   46570     336   46405  1430620  30.72
1872-1874       41      0.00760  0.00758  0.51   46234     350   46061  1384216  29.94
1872-1874       42      0.00811  0.00808  0.51   45883     371   45702  1338155  29.16
1872-1874       43      0.01050  0.01045  0.54   45513     475   45292  1292453  28.40
1872-1874       44      0.01411  0.01401  0.50   45037     631   44720  1247161  27.69
1872-1874       45      0.01419  0.01409  0.49   44406     626   44090  1202441  27.08
1872-1874       46      0.01237  0.01229  0.47   43780     538   43495  1158350  26.46
1872-1874       47      0.00954  0.00949  0.50   43242     410   43038  1114855  25.78
1872-1874       48      0.00952  0.00948  0.50   42832     406   42629  1071818  25.02
1872-1874       49      0.00993  0.00988  0.51   42426     419   42219  1029189  24.26
1872-1874       50      0.01067  0.01061  0.51   42007     446   41786   986970  23.50
1872-1874       51      0.01131  0.01124  0.50   41561     467   41329   945184  22.74
1872-1874       52      0.01188  0.01181  0.50   41094     485   40853   903854  21.99
1872-1874       53      0.01218  0.01210  0.50   40608     491   40364   863002  21.25
1872-1874       54      0.01353  0.01344  0.51   40117     539   39853   822638  20.51
1872-1874       55      0.01348  0.01340  0.52   39577     530   39321   782785  19.78
1872-1874       56      0.01469  0.01459  0.51   39047     570   38767   743464  19.04
1872-1874       57      0.01518  0.01506  0.50   38478     580   38190   704697  18.31
1872-1874       58      0.01692  0.01678  0.50   37898     636   37579   666507  17.59
1872-1874       59      0.01818  0.01802  0.50   37262     671   36925   628928  16.88
1872-1874       60      0.01993  0.01973  0.50   36591     722   36228   592002  16.18
1872-1874       61      0.02100  0.02078  0.50   35869     745   35495   555775  15.49
1872-1874       62      0.02402  0.02374  0.50   35123     834   34709   520280  14.81
1872-1874       63      0.02665  0.02630  0.50   34290     902   33842   485571  14.16
1872-1874       64      0.02917  0.02875  0.50   33388     960   32909   451729  13.53
1872-1874       65      0.03052  0.03007  0.50   32428     975   31945   418820  12.92
1872-1874       66      0.03340  0.03285  0.51   31453    1033   30942   386876  12.30
1872-1874       67      0.03736  0.03668  0.51   30420    1116   29869   355934  11.70
1872-1874       68      0.04200  0.04115  0.51   29304    1206   28708   326065  11.13
1872-1874       69      0.04730  0.04622  0.50   28098    1299   27454   297358  10.58
1872-1874       70      0.05424  0.05280  0.50   26799    1415   26089   269904  10.07
1872-1874       71      0.05506  0.05356  0.49   25384    1360   24697   243815   9.60
1872-1874       72      0.05822  0.05653  0.49   24025    1358   23330   219119   9.12
1872-1874       73      0.06100  0.05916  0.49   22666    1341   21983   195789   8.64
1872-1874       74      0.06872  0.06641  0.49   21326    1416   20608   173806   8.15
1872-1874       75      0.07352  0.07089  0.50   19909    1411   19198   153197   7.69
1872-1874       76      0.08270  0.07945  0.51   18498    1470   17771   133999   7.24
1872-1874       77      0.08900  0.08525  0.51   17028    1452   16311   116228   6.83
1872-1874       78      0.10227  0.09737  0.51   15577    1517   14830    99917   6.41
1872-1874       79      0.11221  0.10629  0.50   14060    1494   13318    85087   6.05
1872-1874       80      0.11864  0.11206  0.50   12565    1408   11867    71768   5.71
1872-1874       81      0.13142  0.12344  0.51   11157    1377   10480    59901   5.37
1872-1874       82      0.14295  0.13356  0.51    9780    1306    9138    49421   5.05
1872-1874       83      0.16236  0.15033  0.51    8474    1274    7846    40282   4.75
1872-1874       84      0.16665  0.15378  0.50    7200    1107    6644    32436   4.51
1872-1874       85      0.18000  0.16523  0.50    6093    1007    5593    25792   4.23
1872-1874       86      0.19069  0.17423  0.50    5086     886    4647    20200   3.97
1872-1874       87      0.21439  0.19392  0.51    4200     814    3799    15553   3.70
1872-1874       88      0.23981  0.21441  0.51    3385     726    3027    11754   3.47
1872-1874       89      0.25821  0.22885  0.50    2660     609    2357     8727   3.28
1872-1874       90      0.27996  0.24594  0.51    2051     504    1802     6370   3.11
1872-1874       91      0.28290  0.24766  0.50    1547     383    1354     4568   2.95
1872-1874       92      0.31501  0.27226  0.50    1164     317    1006     3214   2.76
1872-1874       93      0.34833  0.29683  0.50     847     251     722     2208   2.61
1872-1874       94      0.36424  0.30838  0.50     595     184     504     1487   2.50
1872-1874       95      0.38293  0.32186  0.50     412     133     346      983   2.39
1872-1874       96      0.38107  0.32064  0.51     279      90     235      637   2.28
1872-1874       97      0.42770  0.35159  0.49     190      67     156      402   2.12
1872-1874       98      0.43794  0.35883  0.50     123      44     101      246   2.00
1872-1874       99      0.51860  0.41037  0.49      79      32      62      145   1.84
1872-1874      100      0.49113  0.39202  0.49      47      18      37       82   1.77
1872-1874      101      0.60286  0.46097  0.49      28      13      22       45   1.60
1872-1874      102      0.65462  0.48831  0.48      15       7      11       24   1.55
1872-1874      103      0.60512  0.45948  0.48       8       4       6       12   1.57
1872-1874      104      0.55698  0.43905  0.52       4       2       3        6   1.51
1872-1874      105      0.83234  0.58285  0.49       2       1       2        3   1.28
1872-1874      106      0.64083  0.49291  0.53       1       0       1        1   1.39
1872-1874      107      0.69105  0.50000  0.45       1       0       0        1   1.22
1872-1874      108      1.09091  0.66667  0.42       0       0       0        0   1.00
1872-1874      109      0.60000  0.50000  0.67       0       0       0        0   1.17
1872-1874      110+     1.50000  1.00000  0.67       0       0       0        0   0.67
1875-1879        0      0.24408  0.20872  0.31  100000   20872   85515  3822438  38.22
1875-1879        1      0.09176  0.08752  0.47   79128    6925   75474  3736923  47.23
1875-1879        2      0.06700  0.06482  0.50   72203    4680   69855  3661449  50.71
1875-1879        3      0.04397  0.04301  0.49   67522    2904   66050  3591594  53.19
1875-1879        4      0.02800  0.02761  0.49   64618    1784   63716  3525545  54.56
1875-1879        5      0.01942  0.01924  0.50   62834    1209   62229  3461829  55.09
1875-1879        6      0.01423  0.01413  0.50   61626     871   61192  3399600  55.17
1875-1879        7      0.01005  0.01000  0.50   60755     607   60452  3338408  54.95
1875-1879        8      0.00679  0.00676  0.50   60147     407   59942  3277956  54.50
1875-1879        9      0.00472  0.00471  0.49   59741     282   59598  3218014  53.87
1875-1879       10      0.00447  0.00446  0.50   59459     265   59328  3158416  53.12
1875-1879       11      0.00464  0.00463  0.50   59194     274   59058  3099088  52.35
1875-1879       12      0.00473  0.00472  0.50   58920     278   58782  3040031  51.60
1875-1879       13      0.00484  0.00482  0.50   58642     283   58502  2981249  50.84
1875-1879       14      0.00496  0.00494  0.51   58359     289   58216  2922747  50.08
1875-1879       15      0.00511  0.00510  0.51   58070     296   57925  2864531  49.33
1875-1879       16      0.00534  0.00533  0.51   57774     308   57623  2806606  48.58
1875-1879       17      0.00559  0.00557  0.51   57467     320   57308  2748983  47.84
1875-1879       18      0.00590  0.00589  0.51   57146     336   56980  2691675  47.10
1875-1879       19      0.00632  0.00630  0.51   56810     358   56633  2634694  46.38
1875-1879       20      0.00681  0.00678  0.50   56452     383   56261  2578061  45.67
1875-1879       21      0.00712  0.00710  0.50   56069     398   55870  2521800  44.98
1875-1879       22      0.00738  0.00736  0.50   55671     410   55467  2465929  44.29
1875-1879       23      0.00750  0.00748  0.50   55262     413   55056  2410462  43.62
1875-1879       24      0.00735  0.00732  0.50   54849     402   54649  2355406  42.94
1875-1879       25      0.00713  0.00710  0.50   54447     387   54254  2300757  42.26
1875-1879       26      0.00695  0.00693  0.50   54060     374   53873  2246503  41.56
1875-1879       27      0.00679  0.00676  0.50   53686     363   53504  2192630  40.84
1875-1879       28      0.00673  0.00671  0.50   53323     358   53144  2139126  40.12
1875-1879       29      0.00678  0.00675  0.50   52965     358   52787  2085981  39.38
1875-1879       30      0.00688  0.00685  0.50   52607     361   52427  2033195  38.65
1875-1879       31      0.00706  0.00703  0.50   52247     367   52064  1980767  37.91
1875-1879       32      0.00714  0.00712  0.50   51879     369   51695  1928703  37.18
