West Germany, Life tables (period 1x10), Females	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.03333  0.03244  0.18  100000    3244   97327  7145292  71.45
1956-1959        1      0.00225  0.00225  0.50   96756     217   96648  7047965  72.84
1956-1959        2      0.00125  0.00125  0.50   96539     121   96479  6951318  72.01
1956-1959        3      0.00089  0.00089  0.50   96418      86   96375  6854839  71.09
1956-1959        4      0.00071  0.00071  0.50   96332      68   96298  6758464  70.16
1956-1959        5      0.00061  0.00061  0.50   96264      59   96234  6662166  69.21
1956-1959        6      0.00047  0.00047  0.50   96205      45   96182  6565931  68.25
1956-1959        7      0.00043  0.00043  0.50   96160      41   96139  6469749  67.28
1956-1959        8      0.00036  0.00036  0.50   96119      35   96101  6373610  66.31
1956-1959        9      0.00033  0.00033  0.50   96084      32   96068  6277508  65.33
1956-1959       10      0.00031  0.00031  0.50   96052      30   96037  6181441  64.36
1956-1959       11      0.00030  0.00030  0.50   96022      29   96008  6085404  63.38
1956-1959       12      0.00030  0.00030  0.50   95993      29   95979  5989396  62.39
1956-1959       13      0.00030  0.00030  0.50   95965      29   95950  5893417  61.41
1956-1959       14      0.00041  0.00041  0.50   95935      39   95916  5797467  60.43
1956-1959       15      0.00046  0.00046  0.50   95896      44   95874  5701552  59.46
1956-1959       16      0.00049  0.00049  0.50   95852      47   95829  5605678  58.48
1956-1959       17      0.00052  0.00052  0.50   95805      50   95780  5509849  57.51
1956-1959       18      0.00055  0.00055  0.50   95756      53   95729  5414069  56.54
1956-1959       19      0.00058  0.00058  0.50   95703      55   95675  5318339  55.57
1956-1959       20      0.00067  0.00067  0.50   95648      64   95616  5222664  54.60
1956-1959       21      0.00063  0.00063  0.50   95584      60   95554  5127048  53.64
1956-1959       22      0.00069  0.00069  0.50   95524      66   95491  5031494  52.67
1956-1959       23      0.00073  0.00073  0.50   95458      69   95424  4936003  51.71
1956-1959       24      0.00075  0.00075  0.50   95389      71   95353  4840579  50.75
1956-1959       25      0.00083  0.00083  0.50   95317      79   95278  4745226  49.78
1956-1959       26      0.00087  0.00087  0.50   95238      83   95197  4649948  48.82
1956-1959       27      0.00094  0.00094  0.50   95155      89   95111  4554752  47.87
1956-1959       28      0.00105  0.00105  0.50   95066     100   95016  4459641  46.91
1956-1959       29      0.00108  0.00108  0.50   94967     102   94915  4364625  45.96
1956-1959       30      0.00110  0.00110  0.50   94864     104   94812  4269709  45.01
1956-1959       31      0.00116  0.00116  0.50   94760     110   94705  4174897  44.06
1956-1959       32      0.00125  0.00125  0.50   94650     118   94591  4080192  43.11
1956-1959       33      0.00127  0.00127  0.50   94532     120   94472  3985601  42.16
1956-1959       34      0.00137  0.00137  0.50   94412     129   94348  3891128  41.21
1956-1959       35      0.00143  0.00143  0.50   94283     135   94216  3796781  40.27
1956-1959       36      0.00164  0.00164  0.50   94148     154   94071  3702565  39.33
1956-1959       37      0.00169  0.00169  0.50   93994     158   93915  3608494  38.39
1956-1959       38      0.00183  0.00183  0.50   93836     172   93750  3514578  37.45
1956-1959       39      0.00197  0.00197  0.50   93664     184   93572  3420828  36.52
1956-1959       40      0.00207  0.00207  0.50   93480     194   93383  3327257  35.59
1956-1959       41      0.00238  0.00238  0.50   93286     222   93175  3233874  34.67
1956-1959       42      0.00248  0.00248  0.50   93064     231   92948  3140699  33.75
1956-1959       43      0.00263  0.00263  0.50   92833     244   92711  3047751  32.83
1956-1959       44      0.00288  0.00287  0.50   92589     266   92456  2955040  31.92
1956-1959       45      0.00313  0.00312  0.50   92323     288   92179  2862584  31.01
1956-1959       46      0.00327  0.00326  0.50   92035     300   91885  2770405  30.10
1956-1959       47      0.00357  0.00356  0.50   91735     327   91571  2678521  29.20
1956-1959       48      0.00387  0.00387  0.50   91408     353   91231  2586949  28.30
1956-1959       49      0.00433  0.00432  0.50   91054     393   90858  2495718  27.41
1956-1959       50      0.00467  0.00466  0.50   90661     423   90450  2404861  26.53
1956-1959       51      0.00509  0.00508  0.50   90238     458   90009  2314411  25.65
1956-1959       52      0.00558  0.00557  0.50   89780     500   89530  2224401  24.78
1956-1959       53      0.00600  0.00598  0.50   89281     534   89014  2134871  23.91
1956-1959       54      0.00658  0.00656  0.50   88746     582   88455  2045857  23.05
1956-1959       55      0.00713  0.00710  0.50   88164     626   87851  1957402  22.20
