Spain, Deaths (period 5x10), 	Last modified: 12 Sep 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1908-1909        0             91877.74       113725.03       205602.77
1908-1909      1-4             84325.20        88526.27       172851.47
1908-1909      5-9             15924.70        15774.99        31699.69
1908-1909     10-14             7473.35         6634.90        14108.25
1908-1909     15-19            10397.34         9376.76        19774.10
1908-1909     20-24            12569.79        11980.16        24549.95
1908-1909     25-29            12002.60        10352.51        22355.11
1908-1909     30-34            12738.11        10315.42        23053.53
1908-1909     35-39            11044.62        10504.94        21549.56
1908-1909     40-44            12021.64        12568.83        24590.47
1908-1909     45-49            11261.08        14330.87        25591.95
1908-1909     50-54            14337.37        16467.97        30805.34
1908-1909     55-59            15629.02        18753.48        34382.50
1908-1909     60-64            26268.80        26798.41        53067.21
1908-1909     65-69            24524.15        26029.23        50553.38
1908-1909     70-74            30336.12        27775.20        58111.32
1908-1909     75-79            23505.12        23270.35        46775.47
1908-1909     80-84            22826.71        18097.62        40924.33
1908-1909     85-89            10668.82         8108.15        18776.97
1908-1909     90-94             4104.41         2156.12         6260.53
1908-1909     95-99             1340.75          547.57         1888.32
1908-1909    100-104             230.11           69.57          299.68
1908-1909    105-109              18.14            3.64           21.78
1908-1909    110+                  0.27            0.00            0.27
1910-1919        0            429018.01       529014.56       958032.57
1910-1919      1-4            382093.08       404982.05       787075.13
1910-1919      5-9             85917.80        83472.45       169390.25
1910-1919     10-14            46357.72        40784.10        87141.82
1910-1919     15-19            63205.85        59118.98       122324.83
1910-1919     20-24            75593.67        69589.78       145183.45
1910-1919     25-29            75116.47        64670.85       139787.32
1910-1919     30-34            72255.45        62530.68       134786.13
1910-1919     35-39            64810.94        61146.30       125957.24
1910-1919     40-44            65779.60        68930.35       134709.95
1910-1919     45-49            58672.98        74112.96       132785.94
1910-1919     50-54            75356.53        90410.48       165767.01
1910-1919     55-59            81294.92        99397.64       180692.56
1910-1919     60-64           131871.45       137965.47       269836.92
1910-1919     65-69           131960.50       139758.60       271719.10
1910-1919     70-74           171410.11       162074.77       333484.88
1910-1919     75-79           134167.89       130502.15       264670.04
1910-1919     80-84           120462.80        92548.79       213011.59
1910-1919     85-89            58550.18        41865.35       100415.53
1910-1919     90-94            24215.25        12812.17        37027.42
1910-1919     95-99             8083.86         3452.09        11535.95
1910-1919    100-104            1200.66          368.07         1568.73
1910-1919    105-109             122.84           23.21          146.05
1910-1919    110+                  2.54            0.00            2.54
1920-1929        0            406204.07       493930.70       900134.77
1920-1929      1-4            305222.38       321961.95       627184.33
1920-1929      5-9             58961.31        61742.99       120704.30
1920-1929     10-14            36202.86        34165.76        70368.62
1920-1929     15-19            54993.86        51973.65       106967.51
1920-1929     20-24            63465.43        62961.34       126426.77
1920-1929     25-29            60271.75        55485.51       115757.26
1920-1929     30-34            56119.67        50710.75       106830.42
1920-1929     35-39            52385.38        53337.19       105722.57
1920-1929     40-44            54652.08        63342.63       117994.71
1920-1929     45-49            53911.98        72545.09       126457.07
1920-1929     50-54            66339.21        87360.25       153699.46
1920-1929     55-59            74888.33       101388.22       176276.55
1920-1929     60-64           119935.02       140360.71       260295.73
1920-1929     65-69           128218.00       142120.40       270338.40
1920-1929     70-74           164107.18       158444.25       322551.43
1920-1929     75-79           145033.04       137052.74       282085.78
1920-1929     80-84           126865.95        94808.33       221674.28
1920-1929     85-89            63161.47        42092.09       105253.56
1920-1929     90-94            24099.35        11461.71        35561.06
1920-1929     95-99             8184.42         3094.73        11279.15
1920-1929    100-104            1162.71          329.92         1492.63
1920-1929    105-109              85.69           12.00           97.69
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0            335205.25       415210.42       750415.67
1930-1939      1-4            203980.59       220544.52       424525.11
1930-1939      5-9             46862.88        52741.45        99604.33
1930-1939     10-14            29781.75        32578.46        62360.21
1930-1939     15-19            43351.22        57301.50       100652.72
1930-1939     20-24            54559.55        86544.39       141103.94
1930-1939     25-29            53844.95        79496.38       133341.33
1930-1939     30-34            50086.56        68459.30       118545.86
1930-1939     35-39            48991.99        68948.06       117940.05
1930-1939     40-44            50158.74        74340.32       124499.06
1930-1939     45-49            52429.12        84092.44       136521.56
1930-1939     50-54            64014.74        96883.57       160898.31
1930-1939     55-59            78341.59       113806.85       192148.44
1930-1939     60-64           116167.02       144518.52       260685.54
1930-1939     65-69           133404.68       157369.99       290774.67
1930-1939     70-74           171882.51       177898.55       349781.06
1930-1939     75-79           164954.55       157552.05       322506.60
1930-1939     80-84           146630.80       106846.94       253477.74
1930-1939     85-89            84022.91        52106.69       136129.60
1930-1939     90-94            32160.08        14479.43        46639.51
1930-1939     95-99            11047.89         3860.45        14908.34
1930-1939    100-104            1547.61          330.30         1877.91
1930-1939    105-109             179.02           36.34          215.36
1930-1939    110+                 19.10            4.02           23.12
1940-1949        0            258416.52       316532.08       574948.60
1940-1949      1-4            105942.46       113787.05       219729.51
1940-1949      5-9             31138.54        35517.08        66655.62
1940-1949     10-14            24532.75        27054.13        51586.88
1940-1949     15-19            38468.09        44155.14        82623.23
1940-1949     20-24            47213.84        70929.13       118142.97
1940-1949     25-29            46018.35        68123.86       114142.21
1940-1949     30-34            42954.71        63272.57       106227.28
1940-1949     35-39            44102.98        64291.68       108394.66
1940-1949     40-44            45886.83        70992.77       116879.60
1940-1949     45-49            50442.28        81049.37       131491.65
1940-1949     50-54            58777.32        94210.91       152988.23
1940-1949     55-59            72274.06       110928.27       183202.33
1940-1949     60-64           103402.58       138021.73       241424.31
1940-1949     65-69           133272.04       154098.92       287370.96
1940-1949     70-74           163929.48       162333.95       326263.43
1940-1949     75-79           162911.70       150344.89       313256.59
1940-1949     80-84           141974.22       103111.02       245085.24
1940-1949     85-89            86549.43        49840.07       136389.50
1940-1949     90-94            33151.82        13220.55        46372.37
1940-1949     95-99            11484.63         3348.08        14832.71
1940-1949    100-104            1578.74          319.34         1898.08
1940-1949    105-109             152.63           27.22          179.85
1940-1949    110+                 30.10            3.07           33.17
1950-1959        0            151081.52       192669.24       343750.76
1950-1959      1-4             43590.58        47354.10        90944.68
1950-1959      5-9             13455.35        16306.41        29761.76
1950-1959     10-14             8855.02        11345.15        20200.17
1950-1959     15-19            12408.76        17049.58        29458.34
1950-1959     20-24            18445.86        24937.82        43383.68
1950-1959     25-29            21765.92        28514.29        50280.21
1950-1959     30-34            21936.06        27451.30        49387.36
1950-1959     35-39            24754.74        29184.40        53939.14
1950-1959     40-44            30026.26        37917.31        67943.57
1950-1959     45-49            37721.58        52259.01        89980.59
1950-1959     50-54            49638.52        72946.24       122584.76
1950-1959     55-59            62676.20        92099.10       154775.30
1950-1959     60-64            91012.26       118684.73       209696.99
1950-1959     65-69           126307.03       143036.49       269343.52
1950-1959     70-74           170008.59       165615.25       335623.84
1950-1959     75-79           188196.17       158960.71       347156.88
1950-1959     80-84           166124.45       115063.27       281187.72
1950-1959     85-89           102965.54        59401.74       162367.28
1950-1959     90-94            40917.91        17668.19        58586.10
1950-1959     95-99            13773.84         4122.00        17895.84
1950-1959    100-104            1705.06          320.38         2025.44
1950-1959    105-109             203.72           38.20          241.92
1950-1959    110+                 39.19            8.00           47.19
1960-1969        0            109315.60       146607.59       255923.19
1960-1969      1-4             15559.07        18928.99        34488.06
1960-1969      5-9              6411.18         9180.06        15591.24
1960-1969     10-14             4983.71         7209.64        12193.35
1960-1969     15-19             5695.13        11602.62        17297.75
1960-1969     20-24             7082.74        13979.33        21062.07
1960-1969     25-29             9950.02        15813.90        25763.92
1960-1969     30-34            13371.93        19855.92        33227.85
1960-1969     35-39            17576.62        25966.49        43543.11
1960-1969     40-44            22817.74        33825.20        56642.94
1960-1969     45-49            30378.09        44182.66        74560.75
1960-1969     50-54            43412.37        64954.66       108367.03
1960-1969     55-59            60606.03        96671.71       157277.74
