Finland, Life tables (period 1x5), Females	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.16310  0.14669  0.31  100000   14669   89939  4308057  43.08
1878-1879        1      0.06671  0.06456  0.50   85331    5509   82576  4218119  49.43
1878-1879        2      0.04025  0.03946  0.50   79822    3150   78247  4135543  51.81
1878-1879        3      0.02579  0.02546  0.50   76672    1952   75696  4057296  52.92
1878-1879        4      0.01942  0.01924  0.50   74720    1437   74001  3981600  53.29
1878-1879        5      0.01332  0.01323  0.50   73282     970   72797  3907599  53.32
1878-1879        6      0.01025  0.01020  0.50   72313     737   71944  3834801  53.03
1878-1879        7      0.00872  0.00868  0.50   71575     621   71265  3762857  52.57
1878-1879        8      0.00713  0.00710  0.50   70954     504   70702  3691593  52.03
1878-1879        9      0.00583  0.00582  0.50   70450     410   70245  3620891  51.40
1878-1879       10      0.00571  0.00570  0.50   70040     399   69841  3550646  50.69
1878-1879       11      0.00464  0.00463  0.50   69641     322   69480  3480805  49.98
1878-1879       12      0.00481  0.00480  0.50   69319     333   69152  3411325  49.21
1878-1879       13      0.00446  0.00445  0.50   68986     307   68832  3342173  48.45
1878-1879       14      0.00490  0.00489  0.50   68679     336   68511  3273340  47.66
1878-1879       15      0.00514  0.00513  0.50   68343     350   68168  3204829  46.89
1878-1879       16      0.00498  0.00497  0.50   67993     338   67824  3136661  46.13
1878-1879       17      0.00532  0.00530  0.50   67655     359   67476  3068837  45.36
1878-1879       18      0.00511  0.00509  0.50   67297     343   67125  3001361  44.60
1878-1879       19      0.00537  0.00536  0.50   66954     359   66775  2934236  43.82
1878-1879       20      0.00599  0.00597  0.50   66595     398   66396  2867461  43.06
1878-1879       21      0.00601  0.00599  0.50   66197     397   65999  2801065  42.31
1878-1879       22      0.00688  0.00686  0.50   65801     451   65575  2735066  41.57
1878-1879       23      0.00602  0.00600  0.50   65349     392   65154  2669491  40.85
1878-1879       24      0.00632  0.00630  0.50   64958     409   64753  2604337  40.09
1878-1879       25      0.00623  0.00621  0.50   64548     401   64348  2539584  39.34
1878-1879       26      0.00704  0.00702  0.50   64148     450   63923  2475236  38.59
1878-1879       27      0.00744  0.00742  0.50   63698     472   63461  2411314  37.86
1878-1879       28      0.00778  0.00775  0.50   63225     490   62980  2347852  37.13
1878-1879       29      0.00648  0.00646  0.50   62735     405   62533  2284872  36.42
1878-1879       30      0.00849  0.00845  0.50   62330     527   62067  2222339  35.65
1878-1879       31      0.00802  0.00799  0.50   61803     494   61557  2160272  34.95
1878-1879       32      0.00788  0.00785  0.50   61310     481   61069  2098716  34.23
1878-1879       33      0.00807  0.00804  0.50   60828     489   60584  2037647  33.50
1878-1879       34      0.00896  0.00892  0.50   60339     538   60070  1977063  32.77
1878-1879       35      0.00884  0.00880  0.50   59801     526   59538  1916992  32.06
1878-1879       36      0.00964  0.00960  0.50   59275     569   58991  1857454  31.34
1878-1879       37      0.00929  0.00925  0.50   58706     543   58435  1798464  30.64
1878-1879       38      0.00946  0.00942  0.50   58163     548   57889  1740029  29.92
1878-1879       39      0.00911  0.00907  0.50   57616     523   57354  1682140  29.20
1878-1879       40      0.01026  0.01021  0.50   57093     583   56801  1624786  28.46
1878-1879       41      0.00938  0.00934  0.50   56510     528   56246  1567984  27.75
1878-1879       42      0.01002  0.00997  0.50   55982     558   55703  1511738  27.00
1878-1879       43      0.01070  0.01064  0.50   55424     590   55129  1456035  26.27
1878-1879       44      0.00994  0.00989  0.50   54834     542   54563  1400906  25.55
1878-1879       45      0.00925  0.00920  0.50   54292     500   54042  1346343  24.80
1878-1879       46      0.01028  0.01023  0.50   53792     550   53517  1292301  24.02
1878-1879       47      0.01096  0.01090  0.50   53242     580   52952  1238784  23.27
1878-1879       48      0.01064  0.01058  0.50   52661     557   52383  1185833  22.52
1878-1879       49      0.01049  0.01044  0.50   52104     544   51832  1133450  21.75
1878-1879       50      0.01215  0.01208  0.50   51561     623   51249  1081617  20.98
1878-1879       51      0.01461  0.01450  0.50   50938     739   50568  1030368  20.23
1878-1879       52      0.01457  0.01446  0.50   50199     726   49836   979800  19.52
1878-1879       53      0.01493  0.01482  0.50   49473     733   49106   929964  18.80
1878-1879       54      0.01443  0.01432  0.50   48740     698   48391   880858  18.07
1878-1879       55      0.01813  0.01796  0.50   48042     863   47610   832467  17.33
1878-1879       56      0.01955  0.01936  0.50   47179     913   46722   784856  16.64
1878-1879       57      0.02277  0.02251  0.50   46265    1042   45745   738134  15.95
1878-1879       58      0.02157  0.02134  0.50   45224     965   44741   692390  15.31
1878-1879       59      0.02175  0.02151  0.50   44259     952   43783   647648  14.63
1878-1879       60      0.03038  0.02993  0.50   43307    1296   42659   603865  13.94
1878-1879       61      0.03037  0.02991  0.50   42011    1257   41382   561207  13.36
1878-1879       62      0.03506  0.03445  0.50   40754    1404   40052   519824  12.76
1878-1879       63      0.03626  0.03561  0.50   39350    1401   38649   479772  12.19
1878-1879       64      0.03772  0.03702  0.50   37949    1405   37246   441123  11.62
1878-1879       65      0.04034  0.03955  0.50   36544    1445   35821   403876  11.05
1878-1879       66      0.04536  0.04435  0.50   35099    1557   34320   368055  10.49
1878-1879       67      0.05388  0.05247  0.50   33542    1760   32662   333735   9.95
1878-1879       68      0.05910  0.05741  0.50   31782    1825   30870   301073   9.47
1878-1879       69      0.05614  0.05461  0.50   29958    1636   29140   270203   9.02
1878-1879       70      0.05836  0.05671  0.50   28322    1606   27519   241063   8.51
1878-1879       71      0.07169  0.06921  0.50   26716    1849   25791   213545   7.99
1878-1879       72      0.09153  0.08752  0.50   24867    2176   23778   187754   7.55
1878-1879       73      0.08434  0.08092  0.50   22690    1836   21772   163975   7.23
1878-1879       74      0.08873  0.08496  0.50   20854    1772   19968   142203   6.82
1878-1879       75      0.10371  0.09860  0.50   19082    1881   18141   122235   6.41
1878-1879       76      0.11288  0.10685  0.50   17201    1838   16282   104094   6.05
1878-1879       77      0.13104  0.12299  0.50   15363    1889   14418    87812   5.72
1878-1879       78      0.13678  0.12802  0.50   13473    1725   12611    73394   5.45
1878-1879       79      0.12929  0.12144  0.50   11749    1427   11035    60783   5.17
1878-1879       80      0.17698  0.16259  0.50   10322    1678    9483    49748   4.82
1878-1879       81      0.17141  0.15788  0.50    8644    1365    7961    40265   4.66
1878-1879       82      0.17588  0.16166  0.50    7279    1177    6691    32304   4.44
1878-1879       83      0.19030  0.17377  0.50    6102    1060    5572    25613   4.20
