Finland, Life tables (cohort 1x10), Males	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.18901  0.16690  0.30  100000   16690   88302  3983136  39.83
1878-1879        1      0.06754  0.06530  0.49   83310    5440   80554  3894834  46.75
1878-1879        2      0.04513  0.04414  0.50   77869    3437   76154  3814280  48.98
1878-1879        3      0.03135  0.03086  0.50   74433    2297   73276  3738126  50.22
1878-1879        4      0.02197  0.02173  0.50   72135    1568   71350  3664850  50.81
1878-1879        5      0.01541  0.01529  0.50   70568    1079   70029  3593500  50.92
1878-1879        6      0.01318  0.01309  0.51   69489     910   69042  3523471  50.71
1878-1879        7      0.00972  0.00967  0.48   68579     663   68235  3454430  50.37
1878-1879        8      0.00710  0.00707  0.48   67916     480   67666  3386194  49.86
1878-1879        9      0.00447  0.00446  0.51   67436     300   67288  3318528  49.21
1878-1879       10      0.00538  0.00537  0.52   67135     360   66962  3251241  48.43
1878-1879       11      0.00478  0.00477  0.51   66775     319   66619  3184279  47.69
1878-1879       12      0.00440  0.00439  0.52   66456     292   66315  3117660  46.91
1878-1879       13      0.00403  0.00402  0.51   66164     266   66034  3051345  46.12
1878-1879       14      0.00437  0.00436  0.51   65898     287   65757  2985310  45.30
1878-1879       15      0.00396  0.00395  0.50   65611     259   65481  2919554  44.50
1878-1879       16      0.00401  0.00400  0.52   65352     262   65227  2854072  43.67
1878-1879       17      0.00422  0.00421  0.51   65091     274   64957  2788846  42.85
1878-1879       18      0.00541  0.00539  0.52   64817     349   64647  2723888  42.02
1878-1879       19      0.00573  0.00571  0.52   64467     368   64290  2659241  41.25
1878-1879       20      0.00731  0.00728  0.51   64099     467   63870  2594951  40.48
1878-1879       21      0.00784  0.00781  0.50   63632     497   63383  2531081  39.78
1878-1879       22      0.00861  0.00857  0.50   63135     541   62864  2467698  39.09
1878-1879       23      0.00818  0.00814  0.50   62594     510   62341  2404834  38.42
1878-1879       24      0.00752  0.00749  0.50   62085     465   61851  2342493  37.73
1878-1879       25      0.00799  0.00796  0.50   61620     490   61375  2280642  37.01
1878-1879       26      0.00770  0.00767  0.50   61129     469   60895  2219268  36.30
1878-1879       27      0.00795  0.00792  0.50   60660     480   60421  2158373  35.58
1878-1879       28      0.00760  0.00757  0.51   60180     455   59955  2097951  34.86
1878-1879       29      0.00741  0.00738  0.50   59724     441   59502  2037996  34.12
1878-1879       30      0.00755  0.00752  0.51   59284     446   59064  1978494  33.37
1878-1879       31      0.00771  0.00768  0.50   58838     452   58610  1919431  32.62
1878-1879       32      0.00836  0.00833  0.50   58386     486   58145  1860821  31.87
1878-1879       33      0.00777  0.00774  0.51   57900     448   57679  1802675  31.13
1878-1879       34      0.00846  0.00842  0.50   57452     484   57212  1744997  30.37
1878-1879       35      0.00860  0.00856  0.51   56968     488   56726  1687785  29.63
