Iceland, Life tables (cohort 1x10), Females	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1838-1839        0      0.41719  0.32437  0.31  100000   32437   77751  3377197  33.77
1838-1839        1      0.08206  0.07845  0.44   67563    5300   64594  3299445  48.84
1838-1839        2      0.03862  0.03784  0.47   62262    2356   61003  3234851  51.96
1838-1839        3      0.00996  0.00991  0.50   59906     594   59609  3173848  52.98
1838-1839        4      0.00073  0.00073  0.67   59312      43   59298  3114239  52.51
1838-1839        5      0.00128  0.00127  0.52   59269      76   59233  3054941  51.54
1838-1839        6      0.00190  0.00190  0.52   59194     112   59140  2995707  50.61
1838-1839        7      0.00459  0.00458  0.54   59081     271   58956  2936567  49.70
1838-1839        8      0.00632  0.00630  0.50   58811     370   58624  2877612  48.93
1838-1839        9      0.00729  0.00727  0.53   58440     425   58240  2818987  48.24
1838-1839       10      0.00745  0.00742  0.52   58016     430   57807  2760747  47.59
1838-1839       11      0.00677  0.00674  0.52   57585     388   57397  2702940  46.94
1838-1839       12      0.00588  0.00586  0.51   57197     335   57033  2645543  46.25
1838-1839       13      0.00480  0.00479  0.49   56861     272   56723  2588510  45.52
1838-1839       14      0.00376  0.00375  0.50   56589     212   56483  2531787  44.74
1838-1839       15      0.00348  0.00348  0.51   56377     196   56281  2475304  43.91
1838-1839       16      0.00344  0.00343  0.50   56181     193   56084  2419022  43.06
1838-1839       17      0.00416  0.00415  0.54   55988     232   55880  2362938  42.20
1838-1839       18      0.00518  0.00517  0.53   55755     288   55619  2307058  41.38
1838-1839       19      0.00689  0.00687  0.53   55467     381   55288  2251439  40.59
1838-1839       20      0.01073  0.01067  0.53   55086     588   54811  2196151  39.87
1838-1839       21      0.01260  0.01252  0.50   54498     682   54160  2141340  39.29
1838-1839       22      0.01121  0.01114  0.49   53816     600   53507  2087180  38.78
1838-1839       23      0.01025  0.01019  0.50   53216     542   52947  2033673  38.22
1838-1839       24      0.01019  0.01014  0.50   52674     534   52408  1980726  37.60
1838-1839       25      0.01048  0.01043  0.51   52140     544   51871  1928318  36.98
1838-1839       26      0.01242  0.01235  0.53   51596     637   51295  1876447  36.37
1838-1839       27      0.01426  0.01416  0.50   50959     722   50600  1825152  35.82
1838-1839       28      0.01253  0.01244  0.48   50237     625   49911  1774552  35.32
1838-1839       29      0.01052  0.01047  0.50   49612     519   49351  1724641  34.76
1838-1839       30      0.01013  0.01007  0.49   49093     495   48840  1675290  34.13
1838-1839       31      0.00829  0.00826  0.48   48598     401   48389  1626450  33.47
1838-1839       32      0.00897  0.00893  0.54   48197     430   47999  1578061  32.74
1838-1839       33      0.01526  0.01515  0.54   47766     724   47431  1530062  32.03
1838-1839       34      0.01770  0.01754  0.49   47043     825   46622  1482631  31.52
1838-1839       35      0.01492  0.01481  0.48   46217     684   45860  1436009  31.07
1838-1839       36      0.01217  0.01209  0.48   45533     551   45250  1390149  30.53
1838-1839       37      0.01052  0.01047  0.49   44982     471   44744  1344899  29.90
1838-1839       38      0.01222  0.01215  0.52   44512     541   44254  1300155  29.21
1838-1839       39      0.01301  0.01292  0.50   43971     568   43685  1255902  28.56
1838-1839       40      0.01367  0.01358  0.53   43402     589   43124  1212217  27.93
1838-1839       41      0.01846  0.01830  0.52   42813     784   42441  1169092  27.31
1838-1839       42      0.02039  0.02018  0.51   42030     848   41611  1126652  26.81
