Ireland, Death rates (period 5x10), 	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             0.033904        0.044136        0.039137
1950-1959      1-4             0.001662        0.001953        0.001811
1950-1959      5-9             0.000577        0.000662        0.000621
1950-1959     10-14            0.000478        0.000522        0.000501
1950-1959     15-19            0.000795        0.000945        0.000872
1950-1959     20-24            0.001202        0.001414        0.001311
1950-1959     25-29            0.001544        0.001678        0.001612
1950-1959     30-34            0.001973        0.002091        0.002032
1950-1959     35-39            0.002667        0.002669        0.002668
1950-1959     40-44            0.003453        0.003841        0.003652
1950-1959     45-49            0.004906        0.005919        0.005429
1950-1959     50-54            0.007932        0.010292        0.009135
1950-1959     55-59            0.010958        0.015668        0.013332
1950-1959     60-64            0.018908        0.024754        0.021835
1950-1959     65-69            0.027724        0.038225        0.032937
1950-1959     70-74            0.052111        0.062964        0.057411
1950-1959     75-79            0.082218        0.100459        0.090976
1950-1959     80-84            0.132019        0.154821        0.142698
1950-1959     85-89            0.197460        0.234919        0.213714
1950-1959     90-94            0.267873        0.306952        0.282572
1950-1959     95-99            0.392886        0.441879        0.409354
1950-1959    100-104           0.591660        0.845907        0.659376
1950-1959    105-109           3.425287        4.449438        3.840547
1950-1959    110+                    .              .              .
1960-1969        0             0.022990        0.028964        0.026049
1960-1969      1-4             0.000924        0.001060        0.000994
1960-1969      5-9             0.000369        0.000488        0.000429
1960-1969     10-14            0.000280        0.000377        0.000329
1960-1969     15-19            0.000369        0.000723        0.000551
1960-1969     20-24            0.000538        0.001025        0.000786
1960-1969     25-29            0.000732        0.001179        0.000957
1960-1969     30-34            0.001122        0.001392        0.001257
1960-1969     35-39            0.001611        0.002095        0.001850
1960-1969     40-44            0.002532        0.003296        0.002911
1960-1969     45-49            0.004054        0.005231        0.004648
1960-1969     50-54            0.006655        0.009288        0.008006
1960-1969     55-59            0.009236        0.014951        0.012154
1960-1969     60-64            0.015914        0.025669        0.020758
1960-1969     65-69            0.024428        0.039423        0.031694
1960-1969     70-74            0.044589        0.061498        0.052568
1960-1969     75-79            0.072942        0.094730        0.082989
1960-1969     80-84            0.121687        0.147563        0.133097
1960-1969     85-89            0.188153        0.232466        0.206455
1960-1969     90-94            0.263796        0.322432        0.285489
1960-1969     95-99            0.417093        0.480795        0.437249
1960-1969    100-104           0.601177        0.443645        0.556946
1960-1969    105-109           0.616888        0.357143        0.444591
1960-1969    110+                    .        2.142857        2.142857
1970-1979        0             0.014928        0.018872        0.016951
1970-1979      1-4             0.000677        0.000833        0.000757
1970-1979      5-9             0.000277        0.000434        0.000357
1970-1979     10-14            0.000221        0.000376        0.000300
1970-1979     15-19            0.000375        0.000851        0.000618
1970-1979     20-24            0.000455        0.001220        0.000845
1970-1979     25-29            0.000551        0.001166        0.000864
1970-1979     30-34            0.000705        0.001237        0.000976
1970-1979     35-39            0.001194        0.001808        0.001508
1970-1979     40-44            0.002082        0.003215        0.002657
1970-1979     45-49            0.003642        0.005336        0.004491
1970-1979     50-54            0.005926        0.009584        0.007753
1970-1979     55-59            0.008860        0.015287        0.012077
1970-1979     60-64            0.014613        0.024854        0.019738
1970-1979     65-69            0.022840        0.039946        0.031194
1970-1979     70-74            0.040850        0.064601        0.051740
1970-1979     75-79            0.067537        0.098296        0.080835
1970-1979     80-84            0.113356        0.147259        0.127188
1970-1979     85-89            0.178938        0.225366        0.196674
1970-1979     90-94            0.258443        0.312535        0.276839
1970-1979     95-99            0.406508        0.480840        0.427171
1970-1979    100-104           0.522350        0.582311        0.534791
1970-1979    105-109           0.368550        0.592008        0.421595
1970-1979    110+                    .              .              .
1980-1989        0             0.008492        0.010386        0.009466
1980-1989      1-4             0.000430        0.000572        0.000503
1980-1989      5-9             0.000186        0.000310        0.000250
1980-1989     10-14            0.000178        0.000296        0.000238
1980-1989     15-19            0.000311        0.000820        0.000571
1980-1989     20-24            0.000369        0.001129        0.000754
1980-1989     25-29            0.000360        0.001004        0.000682
1980-1989     30-34            0.000563        0.001111        0.000839
1980-1989     35-39            0.000813        0.001437        0.001131
1980-1989     40-44            0.001509        0.002386        0.001958
1980-1989     45-49            0.002593        0.004220        0.003425
1980-1989     50-54            0.004682        0.007817        0.006272
1980-1989     55-59            0.007640        0.013826        0.010696
1980-1989     60-64            0.012864        0.023140        0.017829
1980-1989     65-69            0.020107        0.037135        0.028187
1980-1989     70-74            0.034403        0.060099        0.046251
1980-1989     75-79            0.057706        0.093774        0.073188
1980-1989     80-84            0.099284        0.143602        0.116017
1980-1989     85-89            0.161505        0.214715        0.179176
1980-1989     90-94            0.240968        0.308687        0.260753
1980-1989     95-99            0.369203        0.477123        0.395070
1980-1989    100-104           0.496753        0.544085        0.504208
1980-1989    105-109           0.722456        1.029160        0.764656
1980-1989    110+              0.678733              .        0.678733
1990-1999        0             0.005781        0.007161        0.006492
1990-1999      1-4             0.000292        0.000354        0.000324
1990-1999      5-9             0.000111        0.000193        0.000153
1990-1999     10-14            0.000145        0.000233        0.000190
1990-1999     15-19            0.000290        0.000729        0.000515
1990-1999     20-24            0.000334        0.001236        0.000794
1990-1999     25-29            0.000394        0.001203        0.000796
1990-1999     30-34            0.000511        0.001175        0.000837
1990-1999     35-39            0.000768        0.001367        0.001065
1990-1999     40-44            0.001275        0.002002        0.001639
1990-1999     45-49            0.002175        0.003318        0.002753
1990-1999     50-54            0.003549        0.005530        0.004557
1990-1999     55-59            0.005741        0.010222        0.008001
1990-1999     60-64            0.009802        0.017851        0.013784
1990-1999     65-69            0.016775        0.030794        0.023423
1990-1999     70-74            0.028747        0.051864        0.039098
1990-1999     75-79            0.050583        0.083903        0.064574
1990-1999     80-84            0.086990        0.132638        0.104241
1990-1999     85-89            0.145603        0.202671        0.163838
1990-1999     90-94            0.234395        0.293695        0.249855
1990-1999     95-99            0.357518        0.422640        0.371394
1990-1999    100-104           0.491100        0.558119        0.503033
1990-1999    105-109           0.653546        1.020408        0.708631
1990-1999    110+              2.142857              .        2.142857
2000-2009        0             0.004099        0.004971        0.004546
