England and Wales, Civilian National Population, Life tables (cohort 5x10), Males	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.19084  0.16833  0.30  100000   16833   88202  3972481  39.72
1841-1849      1-4      0.03775  0.13751  1.40   83167   11437  302985  3884279  46.70
1841-1849      5-9      0.00922  0.04487  1.98   71731    3219  348945  3581294  49.93
1841-1849     10-14     0.00485  0.02394  2.50   68512    1640  338455  3232349  47.18
1841-1849     15-19     0.00642  0.03160  2.64   66872    2113  329371  2893894  43.28
1841-1849     20-24     0.00859  0.04205  2.55   64758    2723  317131  2564523  39.60
1841-1849     25-29     0.00923  0.04510  2.50   62035    2798  303188  2247392  36.23
1841-1849     30-34     0.00993  0.04846  2.53   59237    2871  289102  1944204  32.82
1841-1849     35-39     0.01165  0.05664  2.54   56366    3193  273975  1655102  29.36
1841-1849     40-44     0.01411  0.06821  2.57   53174    3627  257040  1381127  25.97
1841-1849     45-49     0.01729  0.08293  2.55   49547    4109  237678  1124087  22.69
1841-1849     50-54     0.02148  0.10207  2.57   45438    4638  215903   886410  19.51
1841-1849     55-59     0.02859  0.13366  2.56   40800    5454  190718   670507  16.43
1841-1849     60-64     0.03790  0.17344  2.55   35347    6130  161739   479789  13.57
1841-1849     65-69     0.05298  0.23455  2.56   29216    6853  129348   318050  10.89
1841-1849     70-74     0.08074  0.33649  2.53   22364    7525   93199   188702   8.44
1841-1849     75-79     0.11852  0.45370  2.42   14838    6732   56800    95503   6.44
1841-1849     80-84     0.17737  0.60280  2.34    8106    4886   27549    38703   4.77
1841-1849     85-89     0.26731  0.75288  2.10    3220    2424    9069    11154   3.46
1841-1849     90-94     0.36635  0.85829  1.90     796     683    1864     2086   2.62
1841-1849     95-99     0.50509  0.93695  1.64     113     106     209      222   1.97
1841-1849    100-104    0.55813  0.96407  1.61       7       7      12       12   1.75
1841-1849    105-109    1.41181  1.00000  0.71       0       0       0        0   0.71
1841-1849    110+             .        .    .       0       0       0        0      .
