England and Wales, Civilian National Population, Life tables (cohort 1x10), Females	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.15274  0.13826  0.31  100000   13826   90517  4310409  43.10
1841-1849        1      0.06478  0.06265  0.47   86174    5399   83337  4219892  48.97
1841-1849        2      0.03653  0.03587  0.50   80775    2898   79321  4136555  51.21
1841-1849        3      0.02488  0.02457  0.50   77877    1913   76915  4057235  52.10
1841-1849        4      0.01838  0.01821  0.50   75964    1383   75271  3980319  52.40
1841-1849        5      0.01411  0.01401  0.50   74581    1045   74060  3905048  52.36
1841-1849        6      0.01083  0.01077  0.50   73536     792   73139  3830988  52.10
1841-1849        7      0.00816  0.00812  0.50   72744     591   72448  3757848  51.66
1841-1849        8      0.00632  0.00630  0.50   72153     455   71926  3685400  51.08
1841-1849        9      0.00528  0.00527  0.50   71698     378   71511  3613474  50.40
1841-1849       10      0.00488  0.00487  0.50   71321     347   71149  3541964  49.66
1841-1849       11      0.00468  0.00467  0.50   70974     332   70809  3470815  48.90
1841-1849       12      0.00470  0.00469  0.51   70642     331   70478  3400006  48.13
1841-1849       13      0.00493  0.00492  0.51   70311     346   70140  3329528  47.35
1841-1849       14      0.00536  0.00535  0.51   69965     374   69780  3259388  46.59
1841-1849       15      0.00592  0.00591  0.51   69591     411   69388  3189607  45.83
1841-1849       16      0.00646  0.00644  0.51   69180     446   68960  3120220  45.10
1841-1849       17      0.00691  0.00689  0.51   68734     474   68500  3051260  44.39
1841-1849       18      0.00728  0.00726  0.51   68260     495   68015  2982760  43.70
1841-1849       19      0.00759  0.00756  0.51   67765     513   67511  2914745  43.01
1841-1849       20      0.00784  0.00781  0.50   67252     525   66992  2847234  42.34
1841-1849       21      0.00810  0.00807  0.50   66727     538   66461  2780242  41.67
1841-1849       22      0.00834  0.00830  0.50   66189     550   65916  2713781  41.00
1841-1849       23      0.00843  0.00840  0.50   65639     551   65365  2647865  40.34
1841-1849       24      0.00846  0.00842  0.50   65088     548   64816  2582500  39.68
1841-1849       25      0.00849  0.00846  0.50   64540     546   64269  2517684  39.01
1841-1849       26      0.00854  0.00851  0.50   63994     544   63723  2453416  38.34
1841-1849       27      0.00860  0.00857  0.50   63450     544   63179  2389693  37.66
1841-1849       28      0.00868  0.00865  0.50   62906     544   62636  2326513  36.98
1841-1849       29      0.00875  0.00872  0.50   62362     544   62092  2263878  36.30
1841-1849       30      0.00880  0.00876  0.50   61819     542   61549  2201786  35.62
1841-1849       31      0.00889  0.00885  0.50   61277     542   61007  2140237  34.93
1841-1849       32      0.00909  0.00905  0.50   60735     549   60462  2079230  34.23
1841-1849       33      0.00933  0.00929  0.50   60185     559   59907  2018769  33.54
1841-1849       34      0.00956  0.00951  0.50   59626     567   59344  1958861  32.85
1841-1849       35      0.00981  0.00976  0.50   59059     577   58773  1899517  32.16
1841-1849       36      0.01005  0.01000  0.50   58483     585   58192  1840744  31.48
1841-1849       37      0.01027  0.01022  0.50   57898     592   57604  1782552  30.79
1841-1849       38      0.01047  0.01041  0.50   57306     597   57010  1724948  30.10
1841-1849       39      0.01065  0.01059  0.50   56709     601   56411  1667939  29.41
1841-1849       40      0.01091  0.01085  0.50   56109     609   55807  1611527  28.72
1841-1849       41      0.01126  0.01120  0.50   55500     621   55192  1555721  28.03
1841-1849       42      0.01162  0.01155  0.50   54878     634   54564  1500529  27.34
1841-1849       43      0.01198  0.01191  0.50   54244     646   53924  1445965  26.66
1841-1849       44      0.01229  0.01222  0.50   53598     655   53273  1392041  25.97
1841-1849       45      0.01259  0.01251  0.50   52943     662   52615  1338768  25.29
