Hong Kong, Life tables (period 1x10), Females	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1986-1989        0      0.00670  0.00666  0.14  100000     666   99424  7988613  79.89
1986-1989        1      0.00057  0.00057  0.50   99334      57   99306  7889189  79.42
1986-1989        2      0.00028  0.00028  0.50   99277      28   99263  7789884  78.47
1986-1989        3      0.00028  0.00028  0.50   99249      28   99235  7690620  77.49
1986-1989        4      0.00022  0.00022  0.50   99222      22   99211  7591385  76.51
1986-1989        5      0.00017  0.00017  0.50   99200      17   99192  7492174  75.53
1986-1989        6      0.00016  0.00016  0.50   99183      16   99175  7392982  74.54
1986-1989        7      0.00022  0.00022  0.50   99168      22   99157  7293807  73.55
1986-1989        8      0.00012  0.00012  0.50   99146      12   99140  7194650  72.57
1986-1989        9      0.00016  0.00016  0.50   99134      16   99127  7095510  71.57
1986-1989       10      0.00011  0.00011  0.50   99119      11   99113  6996383  70.59
1986-1989       11      0.00015  0.00015  0.50   99108      15   99101  6897270  69.59
1986-1989       12      0.00018  0.00018  0.50   99093      18   99084  6798169  68.60
1986-1989       13      0.00022  0.00022  0.50   99075      21   99064  6699085  67.62
1986-1989       14      0.00018  0.00018  0.50   99054      18   99045  6600021  66.63
1986-1989       15      0.00016  0.00016  0.50   99035      16   99028  6500976  65.64
1986-1989       16      0.00022  0.00022  0.50   99020      21   99009  6401949  64.65
1986-1989       17      0.00025  0.00025  0.50   98999      24   98986  6302939  63.67
1986-1989       18      0.00028  0.00028  0.50   98974      28   98960  6203953  62.68
1986-1989       19      0.00033  0.00033  0.50   98946      33   98930  6104993  61.70
1986-1989       20      0.00035  0.00035  0.50   98913      35   98896  6006063  60.72
1986-1989       21      0.00031  0.00031  0.50   98878      31   98863  5907167  59.74
1986-1989       22      0.00034  0.00034  0.50   98847      34   98831  5808304  58.76
1986-1989       23      0.00035  0.00035  0.50   98814      35   98797  5709474  57.78
1986-1989       24      0.00035  0.00035  0.50   98779      34   98762  5610677  56.80
1986-1989       25      0.00033  0.00033  0.50   98745      32   98729  5511915  55.82
1986-1989       26      0.00033  0.00033  0.50   98713      32   98696  5413186  54.84
1986-1989       27      0.00032  0.00032  0.50   98680      32   98664  5314490  53.86
1986-1989       28      0.00038  0.00038  0.50   98649      37   98630  5215825  52.87
1986-1989       29      0.00048  0.00048  0.50   98611      48   98587  5117195  51.89
1986-1989       30      0.00046  0.00046  0.50   98563      45   98541  5018608  50.92
1986-1989       31      0.00056  0.00056  0.50   98518      55   98491  4920067  49.94
1986-1989       32      0.00053  0.00053  0.50   98463      53   98437  4821577  48.97
1986-1989       33      0.00061  0.00061  0.50   98410      60   98380  4723140  47.99
1986-1989       34      0.00059  0.00059  0.50   98350      58   98321  4624760  47.02
1986-1989       35      0.00065  0.00065  0.50   98291      64   98260  4526439  46.05
1986-1989       36      0.00083  0.00083  0.50   98228      82   98187  4428180  45.08
1986-1989       37      0.00078  0.00078  0.50   98146      77   98108  4329993  44.12
1986-1989       38      0.00075  0.00075  0.50   98070      73   98033  4231885  43.15
1986-1989       39      0.00104  0.00104  0.50   97996     102   97945  4133852  42.18
1986-1989       40      0.00092  0.00092  0.50   97895      90   97850  4035906  41.23
1986-1989       41      0.00095  0.00095  0.50   97805      93   97758  3938057  40.26
1986-1989       42      0.00090  0.00090  0.50   97712      88   97668  3840298  39.30
1986-1989       43      0.00127  0.00127  0.50   97624     124   97562  3742630  38.34
1986-1989       44      0.00124  0.00124  0.50   97501     121   97440  3645068  37.39
1986-1989       45      0.00148  0.00148  0.50   97379     144   97307  3547628  36.43
1986-1989       46      0.00146  0.00146  0.50   97235     142   97164  3450321  35.48
1986-1989       47      0.00165  0.00164  0.50   97093     160   97014  3353156  34.54
1986-1989       48      0.00195  0.00195  0.50   96934     189   96839  3256143  33.59
1986-1989       49      0.00227  0.00226  0.50   96745     219   96635  3159303  32.66
1986-1989       50      0.00255  0.00255  0.50   96526     246   96403  3062668  31.73
1986-1989       51      0.00287  0.00287  0.50   96280     276   96142  2966266  30.81
1986-1989       52      0.00326  0.00325  0.50   96004     312   95847  2870124  29.90
1986-1989       53      0.00380  0.00380  0.50   95691     363   95510  2774277  28.99
1986-1989       54      0.00362  0.00362  0.50   95328     345   95156  2678767  28.10
1986-1989       55      0.00452  0.00450  0.50   94983     428   94769  2583611  27.20
1986-1989       56      0.00470  0.00469  0.50   94555     444   94334  2488842  26.32
1986-1989       57      0.00499  0.00498  0.50   94112     468   93878  2394508  25.44
1986-1989       58      0.00556  0.00554  0.50   93643     519   93384  2300631  24.57
1986-1989       59      0.00549  0.00547  0.50   93124     510   92870  2207247  23.70
1986-1989       60      0.00710  0.00707  0.50   92615     655   92287  2114377  22.83
1986-1989       61      0.00713  0.00711  0.50   91959     654   91633  2022090  21.99
1986-1989       62      0.00898  0.00894  0.50   91306     816   90898  1930458  21.14
1986-1989       63      0.00870  0.00866  0.50   90490     784   90098  1839560  20.33
1986-1989       64      0.01061  0.01056  0.50   89706     947   89233  1749462  19.50
1986-1989       65      0.01214  0.01206  0.50   88759    1071   88224  1660229  18.70
1986-1989       66      0.01332  0.01324  0.50   87688    1161   87108  1572005  17.93
1986-1989       67      0.01390  0.01380  0.50   86528    1194   85931  1484897  17.16
1986-1989       68      0.01620  0.01607  0.50   85334    1371   84648  1398966  16.39
1986-1989       69      0.01772  0.01757  0.50   83963    1475   83225  1314318  15.65
1986-1989       70      0.01909  0.01891  0.50   82488    1560   81708  1231093  14.92
1986-1989       71      0.02126  0.02104  0.50   80928    1703   80077  1149385  14.20
1986-1989       72      0.02431  0.02402  0.50   79226    1903   78274  1069308  13.50
1986-1989       73      0.02690  0.02654  0.50   77323    2052   76296   991034  12.82
1986-1989       74      0.02877  0.02836  0.50   75270    2134   74203   914738  12.15
1986-1989       75      0.03271  0.03218  0.50   73136    2354   71959   840535  11.49
1986-1989       76      0.03685  0.03618  0.50   70782    2561   69501   768576  10.86
1986-1989       77      0.04256  0.04167  0.50   68221    2843   66799   699075  10.25
1986-1989       78      0.04676  0.04569  0.50   65377    2987   63884   632276   9.67
1986-1989       79      0.04673  0.04566  0.50   62390    2849   60966   568392   9.11
1986-1989       80      0.06333  0.06139  0.50   59541    3655   57714   507426   8.52
1986-1989       81      0.06723  0.06504  0.50   55886    3635   54069   449713   8.05
1986-1989       82      0.07401  0.07137  0.50   52251    3729   50387   395644   7.57
