Hong Kong, Life tables (period 5x5), Total	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1986-1989        0      0.00717  0.00713  0.13  100000     713   99383  7701524  77.02
1986-1989      1-4      0.00035  0.00141  1.62   99287     140  396817  7602141  76.57
1986-1989      5-9      0.00017  0.00086  2.45   99148      85  495521  7205324  72.67
1986-1989     10-14     0.00019  0.00096  2.69   99062      95  495092  6709803  67.73
1986-1989     15-19     0.00032  0.00161  2.79   98967     159  494485  6214711  62.80
1986-1989     20-24     0.00044  0.00218  2.55   98808     215  493513  5720225  57.89
1986-1989     25-29     0.00051  0.00257  2.59   98593     253  492354  5226713  53.01
1986-1989     30-34     0.00072  0.00361  2.53   98340     355  490821  4734359  48.14
1986-1989     35-39     0.00106  0.00531  2.66   97984     520  488705  4243538  43.31
1986-1989     40-44     0.00165  0.00824  2.72   97464     803  485487  3754833  38.53
1986-1989     45-49     0.00284  0.01412  2.67   96661    1365  480122  3269346  33.82
1986-1989     50-54     0.00498  0.02463  2.65   95296    2347  470971  2789225  29.27
1986-1989     55-59     0.00792  0.03889  2.62   92949    3615  456134  2318254  24.94
1986-1989     60-64     0.01260  0.06119  2.64   89334    5466  433791  1862120  20.84
1986-1989     65-69     0.02065  0.09841  2.63   83868    8254  399747  1428329  17.03
1986-1989     70-74     0.03229  0.14991  2.62   75615   11335  351059  1028583  13.60
1986-1989     75-79     0.05112  0.22725  2.56   64279   14607  285743   677523  10.54
1986-1989     80-84     0.08777  0.35918  2.47   49672   17841  203271   391781   7.89
1986-1989     85-89     0.13234  0.49272  2.41   31831   15684  118507   188510   5.92
1986-1989     90-94     0.20127  0.64731  2.24   16147   10452   51932    70003   4.34
1986-1989     95-99     0.29501  0.78856  2.05    5695    4491   15222    18071   3.17
1986-1989    100-104    0.41117  0.88881  1.81    1204    1070    2603     2849   2.37
1986-1989    105-109    0.54015  0.94589  1.57     134     127     234      246   1.83
1986-1989    110+       0.64600  1.00000  1.55       7       7      11       11   1.55
1990-1994        0      0.00507  0.00505  0.14  100000     505   99565  7807185  78.07
1990-1994      1-4      0.00029  0.00117  1.58   99495     117  397699  7707620  77.47
1990-1994      5-9      0.00012  0.00060  2.62   99379      59  496752  7309921  73.56
1990-1994     10-14     0.00018  0.00091  2.77   99319      90  496395  6813169  68.60
1990-1994     15-19     0.00034  0.00172  2.82   99229     171  495774  6316774  63.66
1990-1994     20-24     0.00046  0.00231  2.49   99058     228  494718  5821000  58.76
