Bulgaria, Life tables (period 5x10), Males	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.14395  0.13076  0.30  100000   13076   90836  5445284  54.45
1947-1949      1-4      0.01233  0.04769  1.24   86924    4146  336247  5354448  61.60
1947-1949      5-9      0.00263  0.01308  2.24   82779    1082  410901  5018201  60.62
1947-1949     10-14     0.00182  0.00905  2.54   81696     739  406663  4607300  56.40
1947-1949     15-19     0.00322  0.01598  2.81   80957    1294  401951  4200636  51.89
1947-1949     20-24     0.00496  0.02450  2.42   79663    1951  393285  3798686  47.68
1947-1949     25-29     0.00414  0.02049  2.39   77711    1592  384400  3405401  43.82
1947-1949     30-34     0.00403  0.01993  2.49   76119    1517  376785  3021001  39.69
1947-1949     35-39     0.00446  0.02203  2.52   74602    1644  368928  2644215  35.44
1947-1949     40-44     0.00561  0.02767  2.54   72959    2019  359825  2275287  31.19
1947-1949     45-49     0.00785  0.03853  2.57   70940    2733  348048  1915462  27.00
1947-1949     50-54     0.01179  0.05735  2.61   68207    3912  331687  1567414  22.98
1947-1949     55-59     0.01769  0.08486  2.60   64295    5456  308372  1235728  19.22
1947-1949     60-64     0.02679  0.12562  2.53   58839    7391  275951   927355  15.76
1947-1949     65-69     0.03884  0.17761  2.60   51447    9138  235278   651405  12.66
1947-1949     70-74     0.06442  0.27751  2.51   42310   11741  182268   416126   9.84
1947-1949     75-79     0.09790  0.39183  2.45   30569   11978  122341   233859   7.65
1947-1949     80-84     0.14083  0.51142  2.32   18591    9508   67512   111517   6.00
1947-1949     85-89     0.18516  0.60799  2.18    9083    5522   29826    44005   4.84
1947-1949     90-94     0.23318  0.69045  2.05    3561    2459   10543    14179   3.98
1947-1949     95-99     0.28909  0.77524  2.01    1102     854    2956     3636   3.30
1947-1949    100-104    0.35401  0.84106  1.88     248     208     589      680   2.75
1947-1949    105-109    0.42474  0.89146  1.75      39      35      83       92   2.32
1947-1949    110+       0.48238  1.00000  2.07       4       4       9        9   2.07
1950-1959        0      0.09154  0.08602  0.30  100000    8602   93971  6239380  62.39
1950-1959      1-4      0.00624  0.02453  1.19   91398    2242  359301  6145409  67.24
1950-1959      5-9      0.00116  0.00580  2.30   89156     517  444387  5786108  64.90
1950-1959     10-14     0.00098  0.00489  2.56   88639     433  442137  5341721  60.26
1950-1959     15-19     0.00170  0.00846  2.75   88206     746  439350  4899585  55.55
1950-1959     20-24     0.00237  0.01179  2.48   87460    1031  434698  4460235  51.00
1950-1959     25-29     0.00230  0.01141  2.47   86429     986  429646  4025537  46.58
1950-1959     30-34     0.00232  0.01152  2.52   85443     985  424769  3595891  42.09
1950-1959     35-39     0.00279  0.01387  2.59   84458    1172  419468  3171122  37.55
1950-1959     40-44     0.00380  0.01882  2.59   83286    1568  412648  2751654  33.04
1950-1959     45-49     0.00548  0.02706  2.65   81718    2212  403387  2339006  28.62
1950-1959     50-54     0.00879  0.04308  2.65   79507    3425  389494  1935619  24.35
1950-1959     55-59     0.01417  0.06854  2.64   76082    5215  368124  1546125  20.32
1950-1959     60-64     0.02320  0.10992  2.61   70867    7789  335717  1178001  16.62
1950-1959     65-69     0.03574  0.16447  2.58   63078   10375  290312   842284  13.35
1950-1959     70-74     0.05615  0.24695  2.56   52703   13015  231810   551972  10.47
1950-1959     75-79     0.08821  0.36179  2.52   39688   14359  162772   320162   8.07
1950-1959     80-84     0.13111  0.48681  2.36   25329   12330   94049   157390   6.21
1950-1959     85-89     0.18282  0.60616  2.22   12999    7879   43098    63342   4.87
1950-1959     90-94     0.23347  0.69300  2.07    5119    3548   15196    20243   3.95
1950-1959     95-99     0.29654  0.78503  2.00    1572    1234    4161     5047   3.21
1950-1959    100-104    0.37065  0.85565  1.85     338     289     780      887   2.62
1950-1959    105-109    0.45136  0.90688  1.70      49      44      98      107   2.19
1950-1959    110+       0.51750  1.00000  1.93       5       5       9        9   1.93
1960-1969        0      0.03863  0.03740  0.15  100000    3740   96837  6858934  68.59
1960-1969      1-4      0.00186  0.00740  1.40   96260     712  383186  6762097  70.25
1960-1969      5-9      0.00071  0.00352  2.37   95548     336  476853  6378911  66.76
1960-1969     10-14     0.00062  0.00309  2.63   95211     295  475358  5902058  61.99
1960-1969     15-19     0.00104  0.00521  2.68   94917     494  473438  5426700  57.17
1960-1969     20-24     0.00133  0.00662  2.53   94423     625  470570  4953262  52.46
1960-1969     25-29     0.00144  0.00717  2.54   93798     672  467331  4482692  47.79
1960-1969     30-34     0.00171  0.00852  2.57   93125     793  463699  4015361  43.12
1960-1969     35-39     0.00219  0.01088  2.60   92332    1004  459246  3551661  38.47
1960-1969     40-44     0.00308  0.01527  2.63   91328    1394  453340  3092416  33.86
