Bulgaria, Exposure to risk (cohort 5x10), 	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1867-1869        0                    .               .               .
1867-1869      1-4                    .               .               .
1867-1869      5-9                    .               .               .
1867-1869     10-14                   .               .               .
1867-1869     15-19                   .               .               .
1867-1869     20-24                   .               .               .
1867-1869     25-29                   .               .               .
1867-1869     30-34                   .               .               .
1867-1869     35-39                   .               .               .
1867-1869     40-44                   .               .               .
1867-1869     45-49                   .               .               .
1867-1869     50-54                   .               .               .
1867-1869     55-59                   .               .               .
1867-1869     60-64                   .               .               .
1867-1869     65-69                   .               .               .
1867-1869     70-74                   .               .               .
1867-1869     75-79                   .               .               .
1867-1869     80-84            46791.96        47227.98        94019.94
1867-1869     85-89            21852.46        21411.50        43263.97
1867-1869     90-94             8179.10         7467.75        15646.85
1867-1869     95-99             2467.37         2123.87         4591.23
1867-1869    100-104             536.25          492.12         1028.37
1867-1869    105-109              44.65           48.88           93.53
1867-1869    110+                  0.60            0.93            1.54
1870-1879        0                    .               .               .
1870-1879      1-4                    .               .               .
1870-1879      5-9                    .               .               .
1870-1879     10-14                   .               .               .
1870-1879     15-19                   .               .               .
1870-1879     20-24                   .               .               .
1870-1879     25-29                   .               .               .
1870-1879     30-34                   .               .               .
1870-1879     35-39                   .               .               .
1870-1879     40-44                   .               .               .
1870-1879     45-49                   .               .               .
1870-1879     50-54                   .               .               .
1870-1879     55-59                   .               .               .
1870-1879     60-64                   .               .               .
1870-1879     65-69                   .               .               .
1870-1879     70-74           306326.71       261129.12       567455.83
1870-1879     75-79           372944.80       311917.82       684862.62
1870-1879     80-84           243247.59       201824.11       445071.70
1870-1879     85-89           115938.46        92983.05       208921.51
1870-1879     90-94            41680.47        32865.85        74546.32
1870-1879     95-99            12105.47         9245.85        21351.32
1870-1879    100-104            2581.42         1851.92         4433.34
1870-1879    105-109             289.86          167.97          457.83
1870-1879    110+                  4.13            0.64            4.77
1880-1889        0                    .               .               .
1880-1889      1-4                    .               .               .
1880-1889      5-9                    .               .               .
1880-1889     10-14                   .               .               .
1880-1889     15-19                   .               .               .
1880-1889     20-24                   .               .               .
1880-1889     25-29                   .               .               .
1880-1889     30-34                   .               .               .
1880-1889     35-39                   .               .               .
1880-1889     40-44                   .               .               .
1880-1889     45-49                   .               .               .
1880-1889     50-54                   .               .               .
1880-1889     55-59                   .               .               .
1880-1889     60-64           675130.75       557870.30      1233001.05
1880-1889     65-69          1089365.52       915969.75      2005335.27
1880-1889     70-74           948722.75       765605.95      1714328.70
1880-1889     75-79           694938.87       537926.87      1232865.74
1880-1889     80-84           428747.48       312661.50       741408.98
1880-1889     85-89           199206.48       136023.83       335230.32
1880-1889     90-94            65426.48        40784.83       106211.32
1880-1889     95-99            15329.82         8370.50        23700.32
1880-1889    100-104            2335.13         1042.67         3377.80
1880-1889    105-109             107.10           28.54          135.64
1880-1889    110+                  0.00            0.00            0.00
1890-1899        0                    .               .               .
1890-1899      1-4                    .               .               .
1890-1899      5-9                    .               .               .
1890-1899     10-14                   .               .               .
1890-1899     15-19                   .               .               .
1890-1899     20-24                   .               .               .
1890-1899     25-29                   .               .               .
1890-1899     30-34                   .               .               .
1890-1899     35-39                   .               .               .
1890-1899     40-44                   .               .               .
1890-1899     45-49                   .               .               .
1890-1899     50-54           829003.08       821437.89      1650440.97
1890-1899     55-59          1430434.69      1307876.12      2738310.81
1890-1899     60-64          1429596.19      1250001.98      2679598.17
1890-1899     65-69          1286898.75      1094225.10      2381123.86
1890-1899     70-74          1089339.67       880117.33      1969457.00
1890-1899     75-79           803295.00       607047.33      1410342.33
1890-1899     80-84           489250.38       339541.53       828791.92
1890-1899     85-89           219035.05       138281.53       357316.58
1890-1899     90-94            65282.83        36984.45       102267.28
1890-1899     95-99            12208.96         6046.27        18255.24
1890-1899    100-104            1120.79          482.63         1603.41
1890-1899    105-109              39.24            4.42           43.66
1890-1899    110+                  0.17            0.00            0.17
1900-1909        0                    .               .               .
1900-1909      1-4                    .               .               .
1900-1909      5-9                    .               .               .
1900-1909     10-14                   .               .               .
1900-1909     15-19                   .               .               .
1900-1909     20-24                   .               .               .
1900-1909     25-29                   .               .               .
1900-1909     30-34                   .               .               .
1900-1909     35-39                   .               .               .
1900-1909     40-44          1236137.16      1274917.75      2511054.92
1900-1909     45-49          2160612.55      2216440.46      4377053.01
1900-1909     50-54          2217121.27      2251716.34      4468837.61
1900-1909     55-59          2143889.20      2132090.30      4275979.50
1900-1909     60-64          2054111.83      1968928.56      4023040.40
1900-1909     65-69          1861283.80      1711965.88      3573249.68
1900-1909     70-74          1570776.31      1348778.94      2919555.25
1900-1909     75-79          1188146.90       921798.94      2109945.85
1900-1909     80-84           714766.96       490206.65      1204973.62
1900-1909     85-89           319604.94       191392.70       510997.64
1900-1909     90-94            90258.71        46518.16       136776.86
1900-1909     95-99            14283.00         6325.67        20608.66
1900-1909    100-104            1562.48          674.05         2236.53
1900-1909    105-109              70.64           29.04           99.68
1900-1909    110+                  0.15            0.00            0.15
1910-1919        0                    .               .               .
1910-1919      1-4                    .               .               .
1910-1919      5-9                    .               .               .
1910-1919     10-14                   .               .               .
1910-1919     15-19                   .               .               .
1910-1919     20-24                   .               .               .
1910-1919     25-29                   .               .               .
1910-1919     30-34          1034487.67      1039536.91      2074024.58
