PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
CZE,1,1947,1947,1,m,0,1,TL,1,O,6665,1,.,.,0
CZE,1,1947,1947,1,m,0,1,TU,1,O,2386,1,.,.,0
CZE,1,1947,1947,1,m,1,1,TL,1,O,269,.,.,.,0
CZE,1,1947,1947,1,m,1,1,TU,1,O,207,.,.,.,0
CZE,1,1947,1947,1,m,2,1,TL,1,O,132,.,.,.,0
CZE,1,1947,1947,1,m,2,1,TU,1,O,123,.,.,.,0
CZE,1,1947,1947,1,m,3,1,TL,1,O,87,.,.,.,0
CZE,1,1947,1947,1,m,3,1,TU,1,O,91,.,.,.,0
CZE,1,1947,1947,1,m,4,1,TL,1,O,70,.,.,.,0
CZE,1,1947,1947,1,m,4,1,TU,1,O,56,.,.,.,0
CZE,1,1947,1947,1,m,5,1,TL,1,O,44,.,.,.,0
CZE,1,1947,1947,1,m,5,1,TU,1,O,51,.,.,.,0
CZE,1,1947,1947,1,m,6,1,TL,1,O,42,.,.,.,0
CZE,1,1947,1947,1,m,6,1,TU,1,O,51,.,.,.,0
CZE,1,1947,1947,1,m,7,1,TL,1,O,31,.,.,.,0
CZE,1,1947,1947,1,m,7,1,TU,1,O,36,.,.,.,0
CZE,1,1947,1947,1,m,8,1,TL,1,O,39,.,.,.,0
CZE,1,1947,1947,1,m,8,1,TU,1,O,30,.,.,.,0
CZE,1,1947,1947,1,m,9,1,TL,1,O,26,.,.,.,0
CZE,1,1947,1947,1,m,9,1,TU,1,O,28,.,.,.,0
CZE,1,1947,1947,1,m,10,1,TL,1,O,32,.,.,.,0
CZE,1,1947,1947,1,m,10,1,TU,1,O,25,.,.,.,0
CZE,1,1947,1947,1,m,11,1,TL,1,O,27,.,.,.,0
CZE,1,1947,1947,1,m,11,1,TU,1,O,23,.,.,.,0
CZE,1,1947,1947,1,m,12,1,TL,1,O,21,.,.,.,0
CZE,1,1947,1947,1,m,12,1,TU,1,O,20,.,.,.,0
CZE,1,1947,1947,1,m,13,1,TL,1,O,29,.,.,.,0
CZE,1,1947,1947,1,m,13,1,TU,1,O,27,.,.,.,0
CZE,1,1947,1947,1,m,14,1,TL,1,O,35,.,.,.,0
CZE,1,1947,1947,1,m,14,1,TU,1,O,42,.,.,.,0
CZE,1,1947,1947,1,m,15,1,TL,1,O,47,.,.,.,0
CZE,1,1947,1947,1,m,15,1,TU,1,O,61,.,.,.,0
CZE,1,1947,1947,1,m,16,1,TL,1,O,51,.,.,.,0
CZE,1,1947,1947,1,m,16,1,TU,1,O,75,.,.,.,0
CZE,1,1947,1947,1,m,17,1,TL,1,O,70,.,.,.,0
CZE,1,1947,1947,1,m,17,1,TU,1,O,70,.,.,.,0
CZE,1,1947,1947,1,m,18,1,TL,1,O,64,.,.,.,0
CZE,1,1947,1947,1,m,18,1,TU,1,O,92,.,.,.,0
CZE,1,1947,1947,1,m,19,1,TL,1,O,99,.,.,.,0
CZE,1,1947,1947,1,m,19,1,TU,1,O,96,.,.,.,0
CZE,1,1947,1947,1,m,20,1,TL,1,O,102,.,.,.,0
CZE,1,1947,1947,1,m,20,1,TU,1,O,103,.,.,.,0
CZE,1,1947,1947,1,m,21,1,TL,1,O,94,.,.,.,0
CZE,1,1947,1947,1,m,21,1,TU,1,O,101,.,.,.,0
CZE,1,1947,1947,1,m,22,1,TL,1,O,113,.,.,.,0
CZE,1,1947,1947,1,m,22,1,TU,1,O,108,.,.,.,0
CZE,1,1947,1947,1,m,23,1,TL,1,O,122,.,.,.,0
CZE,1,1947,1947,1,m,23,1,TU,1,O,135,.,.,.,0
CZE,1,1947,1947,1,m,24,1,TL,1,O,120,.,.,.,0
CZE,1,1947,1947,1,m,24,1,TU,1,O,105,.,.,.,0
CZE,1,1947,1947,1,m,25,1,TL,1,O,123,.,.,.,0
CZE,1,1947,1947,1,m,25,1,TU,1,O,112,.,.,.,0
CZE,1,1947,1947,1,m,26,1,TL,1,O,107,.,.,.,0
CZE,1,1947,1947,1,m,26,1,TU,1,O,105,.,.,.,0
CZE,1,1947,1947,1,m,27,1,TL,1,O,107,.,.,.,0
CZE,1,1947,1947,1,m,27,1,TU,1,O,91,.,.,.,0
CZE,1,1947,1947,1,m,28,1,TL,1,O,86,.,.,.,0
CZE,1,1947,1947,1,m,28,1,TU,1,O,58,.,.,.,0
CZE,1,1947,1947,1,m,29,1,TL,1,O,40,.,.,.,0
CZE,1,1947,1947,1,m,29,1,TU,1,O,47,.,.,.,0
CZE,1,1947,1947,1,m,30,1,TL,1,O,56,.,.,.,0
CZE,1,1947,1947,1,m,30,1,TU,1,O,62,.,.,.,0
CZE,1,1947,1947,1,m,31,1,TL,1,O,55,.,.,.,0
CZE,1,1947,1947,1,m,31,1,TU,1,O,66,.,.,.,0
CZE,1,1947,1947,1,m,32,1,TL,1,O,82,.,.,.,0
CZE,1,1947,1947,1,m,32,1,TU,1,O,99,.,.,.,0
CZE,1,1947,1947,1,m,33,1,TL,1,O,122,.,.,.,0
CZE,1,1947,1947,1,m,33,1,TU,1,O,149,.,.,.,0
CZE,1,1947,1947,1,m,34,1,TL,1,O,114,.,.,.,0
CZE,1,1947,1947,1,m,34,1,TU,1,O,139,.,.,.,0
CZE,1,1947,1947,1,m,35,1,TL,1,O,123,.,.,.,0
CZE,1,1947,1947,1,m,35,1,TU,1,O,118,.,.,.,0
CZE,1,1947,1947,1,m,36,1,TL,1,O,126,.,.,.,0
CZE,1,1947,1947,1,m,36,1,TU,1,O,125,.,.,.,0
CZE,1,1947,1947,1,m,37,1,TL,1,O,138,.,.,.,0
CZE,1,1947,1947,1,m,37,1,TU,1,O,145,.,.,.,0
CZE,1,1947,1947,1,m,38,1,TL,1,O,141,.,.,.,0
CZE,1,1947,1947,1,m,38,1,TU,1,O,153,.,.,.,0
CZE,1,1947,1947,1,m,39,1,TL,1,O,152,.,.,.,0
CZE,1,1947,1947,1,m,39,1,TU,1,O,167,.,.,.,0
CZE,1,1947,1947,1,m,40,1,TL,1,O,153,.,.,.,0
CZE,1,1947,1947,1,m,40,1,TU,1,O,175,.,.,.,0
CZE,1,1947,1947,1,m,41,1,TL,1,O,170,.,.,.,0
CZE,1,1947,1947,1,m,41,1,TU,1,O,189,.,.,.,0
CZE,1,1947,1947,1,m,42,1,TL,1,O,202,.,.,.,0
CZE,1,1947,1947,1,m,42,1,TU,1,O,192,.,.,.,0
CZE,1,1947,1947,1,m,43,1,TL,1,O,190,.,.,.,0
CZE,1,1947,1947,1,m,43,1,TU,1,O,195,.,.,.,0
CZE,1,1947,1947,1,m,44,1,TL,1,O,205,.,.,.,0
CZE,1,1947,1947,1,m,44,1,TU,1,O,219,.,.,.,0
CZE,1,1947,1947,1,m,45,1,TL,1,O,247,.,.,.,0
CZE,1,1947,1947,1,m,45,1,TU,1,O,245,.,.,.,0
CZE,1,1947,1947,1,m,46,1,TL,1,O,225,.,.,.,0
CZE,1,1947,1947,1,m,46,1,TU,1,O,242,.,.,.,0
CZE,1,1947,1947,1,m,47,1,TL,1,O,235,.,.,.,0
CZE,1,1947,1947,1,m,47,1,TU,1,O,276,.,.,.,0
CZE,1,1947,1947,1,m,48,1,TL,1,O,271,.,.,.,0
CZE,1,1947,1947,1,m,48,1,TU,1,O,294,.,.,.,0
CZE,1,1947,1947,1,m,49,1,TL,1,O,264,.,.,.,0
CZE,1,1947,1947,1,m,49,1,TU,1,O,284,.,.,.,0
CZE,1,1947,1947,1,m,50,1,TL,1,O,262,.,.,.,0
CZE,1,1947,1947,1,m,50,1,TU,1,O,254,.,.,.,0
CZE,1,1947,1947,1,m,51,1,TL,1,O,284,.,.,.,0
CZE,1,1947,1947,1,m,51,1,TU,1,O,294,.,.,.,0
CZE,1,1947,1947,1,m,52,1,TL,1,O,308,.,.,.,0
CZE,1,1947,1947,1,m,52,1,TU,1,O,309,.,.,.,0
CZE,1,1947,1947,1,m,53,1,TL,1,O,288,.,.,.,0
CZE,1,1947,1947,1,m,53,1,TU,1,O,337,.,.,.,0
CZE,1,1947,1947,1,m,54,1,TL,1,O,297,.,.,.,0
CZE,1,1947,1947,1,m,54,1,TU,1,O,317,.,.,.,0
CZE,1,1947,1947,1,m,55,1,TL,1,O,286,.,.,.,0
CZE,1,1947,1947,1,m,55,1,TU,1,O,349,.,.,.,0
CZE,1,1947,1947,1,m,56,1,TL,1,O,354,.,.,.,0
CZE,1,1947,1947,1,m,56,1,TU,1,O,343,.,.,.,0
CZE,1,1947,1947,1,m,57,1,TL,1,O,364,.,.,.,0
CZE,1,1947,1947,1,m,57,1,TU,1,O,362,.,.,.,0
CZE,1,1947,1947,1,m,58,1,TL,1,O,348,.,.,.,0
CZE,1,1947,1947,1,m,58,1,TU,1,O,422,.,.,.,0
CZE,1,1947,1947,1,m,59,1,TL,1,O,427,.,.,.,0
CZE,1,1947,1947,1,m,59,1,TU,1,O,424,.,.,.,0
CZE,1,1947,1947,1,m,60,1,TL,1,O,466,.,.,.,0
CZE,1,1947,1947,1,m,60,1,TU,1,O,443,.,.,.,0
CZE,1,1947,1947,1,m,61,1,TL,1,O,421,.,.,.,0
CZE,1,1947,1947,1,m,61,1,TU,1,O,458,.,.,.,0
CZE,1,1947,1947,1,m,62,1,TL,1,O,433,.,.,.,0
CZE,1,1947,1947,1,m,62,1,TU,1,O,473,.,.,.,0
CZE,1,1947,1947,1,m,63,1,TL,1,O,469,.,.,.,0
CZE,1,1947,1947,1,m,63,1,TU,1,O,498,.,.,.,0
CZE,1,1947,1947,1,m,64,1,TL,1,O,473,.,.,.,0
CZE,1,1947,1947,1,m,64,1,TU,1,O,535,.,.,.,0
CZE,1,1947,1947,1,m,65,1,TL,1,O,533,.,.,.,0
CZE,1,1947,1947,1,m,65,1,TU,1,O,571,.,.,.,0
CZE,1,1947,1947,1,m,66,1,TL,1,O,494,.,.,.,0
CZE,1,1947,1947,1,m,66,1,TU,1,O,514,.,.,.,0
CZE,1,1947,1947,1,m,67,1,TL,1,O,518,.,.,.,0
CZE,1,1947,1947,1,m,67,1,TU,1,O,599,.,.,.,0
CZE,1,1947,1947,1,m,68,1,TL,1,O,554,.,.,.,0
CZE,1,1947,1947,1,m,68,1,TU,1,O,618,.,.,.,0
CZE,1,1947,1947,1,m,69,1,TL,1,O,569,.,.,.,0
CZE,1,1947,1947,1,m,69,1,TU,1,O,577,.,.,.,0
CZE,1,1947,1947,1,m,70,1,TL,1,O,520,.,.,.,0
CZE,1,1947,1947,1,m,70,1,TU,1,O,594,.,.,.,0
CZE,1,1947,1947,1,m,71,1,TL,1,O,512,.,.,.,0
CZE,1,1947,1947,1,m,71,1,TU,1,O,639,.,.,.,0
CZE,1,1947,1947,1,m,72,1,TL,1,O,565,.,.,.,0
CZE,1,1947,1947,1,m,72,1,TU,1,O,619,.,.,.,0
CZE,1,1947,1947,1,m,73,1,TL,1,O,623,.,.,.,0
CZE,1,1947,1947,1,m,73,1,TU,1,O,650,.,.,.,0
CZE,1,1947,1947,1,m,74,1,TL,1,O,621,.,.,.,0
CZE,1,1947,1947,1,m,74,1,TU,1,O,585,.,.,.,0
CZE,1,1947,1947,1,m,75,1,TL,1,O,532,.,.,.,0
CZE,1,1947,1947,1,m,75,1,TU,1,O,633,.,.,.,0
CZE,1,1947,1947,1,m,76,1,TL,1,O,633,.,.,.,0
CZE,1,1947,1947,1,m,76,1,TU,1,O,633,.,.,.,0
CZE,1,1947,1947,1,m,77,1,TL,1,O,565,.,.,.,0
CZE,1,1947,1947,1,m,77,1,TU,1,O,596,.,.,.,0
CZE,1,1947,1947,1,m,78,1,TL,1,O,543,.,.,.,0
CZE,1,1947,1947,1,m,78,1,TU,1,O,579,.,.,.,0
CZE,1,1947,1947,1,m,79,1,TL,1,O,489,.,.,.,0
CZE,1,1947,1947,1,m,79,1,TU,1,O,538,.,.,.,0
CZE,1,1947,1947,1,m,80,1,TL,1,O,437,.,.,.,0
CZE,1,1947,1947,1,m,80,1,TU,1,O,471,.,.,.,0
CZE,1,1947,1947,1,m,81,1,TL,1,O,455,.,.,.,0
CZE,1,1947,1947,1,m,81,1,TU,1,O,500,.,.,.,0
CZE,1,1947,1947,1,m,82,1,TL,1,O,385,.,.,.,0
CZE,1,1947,1947,1,m,82,1,TU,1,O,397,.,.,.,0
CZE,1,1947,1947,1,m,83,1,TL,1,O,321,.,.,.,0
CZE,1,1947,1947,1,m,83,1,TU,1,O,403,.,.,.,0
CZE,1,1947,1947,1,m,84,1,TL,1,O,290,.,.,.,0
CZE,1,1947,1947,1,m,84,1,TU,1,O,312,.,.,.,0
CZE,1,1947,1947,1,m,85,1,TL,1,O,238,.,.,.,0
CZE,1,1947,1947,1,m,85,1,TU,1,O,280,.,.,.,0
CZE,1,1947,1947,1,m,86,1,TL,1,O,189,.,.,.,0
CZE,1,1947,1947,1,m,86,1,TU,1,O,213,.,.,.,0
CZE,1,1947,1947,1,m,87,1,TL,1,O,162,.,.,.,0
CZE,1,1947,1947,1,m,87,1,TU,1,O,170,.,.,.,0
CZE,1,1947,1947,1,m,88,1,TL,1,O,127,.,.,.,0
CZE,1,1947,1947,1,m,88,1,TU,1,O,124,.,.,.,0
CZE,1,1947,1947,1,m,89,1,TL,1,O,125,.,.,.,0
CZE,1,1947,1947,1,m,89,1,TU,1,O,98,.,.,.,0
CZE,1,1947,1947,1,m,90,1,TL,1,O,84,.,.,.,0
CZE,1,1947,1947,1,m,90,1,TU,1,O,76,.,.,.,0
CZE,1,1947,1947,1,m,91,1,TL,1,O,40,.,.,.,0
CZE,1,1947,1947,1,m,91,1,TU,1,O,64,.,.,.,0
CZE,1,1947,1947,1,m,92,1,TL,1,O,25,.,.,.,0
CZE,1,1947,1947,1,m,92,1,TU,1,O,41,.,.,.,0
CZE,1,1947,1947,1,m,93,1,TL,1,O,31,.,.,.,0
CZE,1,1947,1947,1,m,93,1,TU,1,O,21,.,.,.,0
CZE,1,1947,1947,1,m,94,1,TL,1,O,13,.,.,.,0
CZE,1,1947,1947,1,m,94,1,TU,1,O,19,.,.,.,0
CZE,1,1947,1947,1,m,95,1,TL,1,O,14,.,.,.,0
CZE,1,1947,1947,1,m,95,1,TU,1,O,12,.,.,.,0
CZE,1,1947,1947,1,m,96,1,TL,1,O,10,.,.,.,0
CZE,1,1947,1947,1,m,96,1,TU,1,O,5,.,.,.,0
CZE,1,1947,1947,1,m,97,1,TL,1,O,1,.,.,.,0
CZE,1,1947,1947,1,m,97,1,TU,1,O,2,.,.,.,0
CZE,1,1947,1947,1,m,98,1,TL,1,O,2,.,.,.,0
CZE,1,1947,1947,1,m,98,1,TU,1,O,2,.,.,.,0
CZE,1,1947,1947,1,m,99,1,TL,1,O,0,.,.,.,0
CZE,1,1947,1947,1,m,99,1,TU,1,O,1,.,.,.,0
CZE,1,1947,1947,1,m,100,1,TL,1,O,0,.,.,.,0
CZE,1,1947,1947,1,m,100,1,TU,1,O,0,.,.,.,0
CZE,1,1947,1947,1,m,101,1,TL,1,O,0,.,.,.,0
CZE,1,1947,1947,1,m,101,+,TU,1,O,1,.,.,.,0
CZE,1,1947,1947,1,m,UNK,.,.,1,O,7,.,.,.,0
CZE,1,1947,1947,1,m,TOT,.,.,1,O,54936,.,.,.,0
CZE,1,1948,1948,1,m,0,1,TL,2,O,6162,1,.,.,0
CZE,1,1948,1948,1,m,0,1,TU,2,O,1829,1,.,.,0
CZE,1,1948,1948,1,m,1,1,TL,2,O,290,.,.,.,0
CZE,1,1948,1948,1,m,1,1,TU,2,O,207,.,.,.,0
CZE,1,1948,1948,1,m,2,1,TL,2,O,134,.,.,.,0
CZE,1,1948,1948,1,m,2,1,TU,2,O,93,.,.,.,0
CZE,1,1948,1948,1,m,3,1,TL,2,O,82,.,.,.,0
CZE,1,1948,1948,1,m,3,1,TU,2,O,82,.,.,.,0
CZE,1,1948,1948,1,m,4,1,TL,2,O,64,.,.,.,0
CZE,1,1948,1948,1,m,4,1,TU,2,O,50,.,.,.,0
CZE,1,1948,1948,1,m,5,1,TL,2,O,47,.,.,.,0
CZE,1,1948,1948,1,m,5,1,TU,2,O,49,.,.,.,0
CZE,1,1948,1948,1,m,6,1,TL,2,O,46,.,.,.,0
CZE,1,1948,1948,1,m,6,1,TU,2,O,48,.,.,.,0
CZE,1,1948,1948,1,m,7,1,TL,2,O,46,.,.,.,0
CZE,1,1948,1948,1,m,7,1,TU,2,O,44,.,.,.,0
CZE,1,1948,1948,1,m,8,1,TL,2,O,50,.,.,.,0
CZE,1,1948,1948,1,m,8,1,TU,2,O,24,.,.,.,0
CZE,1,1948,1948,1,m,9,1,TL,2,O,38,.,.,.,0
CZE,1,1948,1948,1,m,9,1,TU,2,O,25,.,.,.,0
CZE,1,1948,1948,1,m,10,1,TL,2,O,33,.,.,.,0
CZE,1,1948,1948,1,m,10,1,TU,2,O,38,.,.,.,0
CZE,1,1948,1948,1,m,11,1,TL,2,O,33,.,.,.,0
CZE,1,1948,1948,1,m,11,1,TU,2,O,24,.,.,.,0
CZE,1,1948,1948,1,m,12,1,TL,2,O,29,.,.,.,0
CZE,1,1948,1948,1,m,12,1,TU,2,O,27,.,.,.,0
CZE,1,1948,1948,1,m,13,1,TL,2,O,22,.,.,.,0
CZE,1,1948,1948,1,m,13,1,TU,2,O,29,.,.,.,0
CZE,1,1948,1948,1,m,14,1,TL,2,O,41,.,.,.,0
CZE,1,1948,1948,1,m,14,1,TU,2,O,39,.,.,.,0
CZE,1,1948,1948,1,m,15,1,TL,2,O,38,.,.,.,0
CZE,1,1948,1948,1,m,15,1,TU,2,O,41,.,.,.,0
CZE,1,1948,1948,1,m,16,1,TL,2,O,46,.,.,.,0
CZE,1,1948,1948,1,m,16,1,TU,2,O,49,.,.,.,0
CZE,1,1948,1948,1,m,17,1,TL,2,O,66,.,.,.,0
CZE,1,1948,1948,1,m,17,1,TU,2,O,68,.,.,.,0
CZE,1,1948,1948,1,m,18,1,TL,2,O,73,.,.,.,0
CZE,1,1948,1948,1,m,18,1,TU,2,O,81,.,.,.,0
CZE,1,1948,1948,1,m,19,1,TL,2,O,90,.,.,.,0
CZE,1,1948,1948,1,m,19,1,TU,2,O,93,.,.,.,0
CZE,1,1948,1948,1,m,20,1,TL,2,O,79,.,.,.,0
CZE,1,1948,1948,1,m,20,1,TU,2,O,88,.,.,.,0
CZE,1,1948,1948,1,m,21,1,TL,2,O,91,.,.,.,0
CZE,1,1948,1948,1,m,21,1,TU,2,O,75,.,.,.,0
CZE,1,1948,1948,1,m,22,1,TL,2,O,122,.,.,.,0
CZE,1,1948,1948,1,m,22,1,TU,2,O,79,.,.,.,0
CZE,1,1948,1948,1,m,23,1,TL,2,O,105,.,.,.,0
CZE,1,1948,1948,1,m,23,1,TU,2,O,104,.,.,.,0
CZE,1,1948,1948,1,m,24,1,TL,2,O,115,.,.,.,0
CZE,1,1948,1948,1,m,24,1,TU,2,O,105,.,.,.,0
CZE,1,1948,1948,1,m,25,1,TL,2,O,94,.,.,.,0
CZE,1,1948,1948,1,m,25,1,TU,2,O,86,.,.,.,0
CZE,1,1948,1948,1,m,26,1,TL,2,O,125,.,.,.,0
CZE,1,1948,1948,1,m,26,1,TU,2,O,104,.,.,.,0
CZE,1,1948,1948,1,m,27,1,TL,2,O,114,.,.,.,0
CZE,1,1948,1948,1,m,27,1,TU,2,O,92,.,.,.,0
CZE,1,1948,1948,1,m,28,1,TL,2,O,102,.,.,.,0
CZE,1,1948,1948,1,m,28,1,TU,2,O,90,.,.,.,0
CZE,1,1948,1948,1,m,29,1,TL,2,O,62,.,.,.,0
CZE,1,1948,1948,1,m,29,1,TU,2,O,49,.,.,.,0
CZE,1,1948,1948,1,m,30,1,TL,2,O,41,.,.,.,0
CZE,1,1948,1948,1,m,30,1,TU,2,O,49,.,.,.,0
CZE,1,1948,1948,1,m,31,1,TL,2,O,56,.,.,.,0
CZE,1,1948,1948,1,m,31,1,TU,2,O,46,.,.,.,0
CZE,1,1948,1948,1,m,32,1,TL,2,O,47,.,.,.,0
CZE,1,1948,1948,1,m,32,1,TU,2,O,75,.,.,.,0
CZE,1,1948,1948,1,m,33,1,TL,2,O,86,.,.,.,0
CZE,1,1948,1948,1,m,33,1,TU,2,O,89,.,.,.,0
CZE,1,1948,1948,1,m,34,1,TL,2,O,85,.,.,.,0
CZE,1,1948,1948,1,m,34,1,TU,2,O,97,.,.,.,0
CZE,1,1948,1948,1,m,35,1,TL,2,O,116,.,.,.,0
CZE,1,1948,1948,1,m,35,1,TU,2,O,110,.,.,.,0
CZE,1,1948,1948,1,m,36,1,TL,2,O,114,.,.,.,0
CZE,1,1948,1948,1,m,36,1,TU,2,O,128,.,.,.,0
CZE,1,1948,1948,1,m,37,1,TL,2,O,129,.,.,.,0
CZE,1,1948,1948,1,m,37,1,TU,2,O,140,.,.,.,0
CZE,1,1948,1948,1,m,38,1,TL,2,O,150,.,.,.,0
CZE,1,1948,1948,1,m,38,1,TU,2,O,140,.,.,.,0
CZE,1,1948,1948,1,m,39,1,TL,2,O,120,.,.,.,0
CZE,1,1948,1948,1,m,39,1,TU,2,O,140,.,.,.,0
CZE,1,1948,1948,1,m,40,1,TL,2,O,174,.,.,.,0
CZE,1,1948,1948,1,m,40,1,TU,2,O,156,.,.,.,0
CZE,1,1948,1948,1,m,41,1,TL,2,O,169,.,.,.,0
CZE,1,1948,1948,1,m,41,1,TU,2,O,155,.,.,.,0
CZE,1,1948,1948,1,m,42,1,TL,2,O,170,.,.,.,0
CZE,1,1948,1948,1,m,42,1,TU,2,O,187,.,.,.,0
CZE,1,1948,1948,1,m,43,1,TL,2,O,166,.,.,.,0
CZE,1,1948,1948,1,m,43,1,TU,2,O,198,.,.,.,0
CZE,1,1948,1948,1,m,44,1,TL,2,O,201,.,.,.,0
CZE,1,1948,1948,1,m,44,1,TU,2,O,198,.,.,.,0
CZE,1,1948,1948,1,m,45,1,TL,2,O,217,.,.,.,0
CZE,1,1948,1948,1,m,45,1,TU,2,O,237,.,.,.,0
CZE,1,1948,1948,1,m,46,1,TL,2,O,230,.,.,.,0
CZE,1,1948,1948,1,m,46,1,TU,2,O,230,.,.,.,0
CZE,1,1948,1948,1,m,47,1,TL,2,O,252,.,.,.,0
CZE,1,1948,1948,1,m,47,1,TU,2,O,250,.,.,.,0
CZE,1,1948,1948,1,m,48,1,TL,2,O,282,.,.,.,0
CZE,1,1948,1948,1,m,48,1,TU,2,O,279,.,.,.,0
CZE,1,1948,1948,1,m,49,1,TL,2,O,250,.,.,.,0
CZE,1,1948,1948,1,m,49,1,TU,2,O,274,.,.,.,0
CZE,1,1948,1948,1,m,50,1,TL,2,O,290,.,.,.,0
CZE,1,1948,1948,1,m,50,1,TU,2,O,265,.,.,.,0
CZE,1,1948,1948,1,m,51,1,TL,2,O,293,.,.,.,0
CZE,1,1948,1948,1,m,51,1,TU,2,O,297,.,.,.,0
CZE,1,1948,1948,1,m,52,1,TL,2,O,308,.,.,.,0
CZE,1,1948,1948,1,m,52,1,TU,2,O,293,.,.,.,0
CZE,1,1948,1948,1,m,53,1,TL,2,O,354,.,.,.,0
CZE,1,1948,1948,1,m,53,1,TU,2,O,308,.,.,.,0
CZE,1,1948,1948,1,m,54,1,TL,2,O,317,.,.,.,0
CZE,1,1948,1948,1,m,54,1,TU,2,O,305,.,.,.,0
CZE,1,1948,1948,1,m,55,1,TL,2,O,328,.,.,.,0
CZE,1,1948,1948,1,m,55,1,TU,2,O,299,.,.,.,0
CZE,1,1948,1948,1,m,56,1,TL,2,O,357,.,.,.,0
CZE,1,1948,1948,1,m,56,1,TU,2,O,347,.,.,.,0
CZE,1,1948,1948,1,m,57,1,TL,2,O,362,.,.,.,0
CZE,1,1948,1948,1,m,57,1,TU,2,O,337,.,.,.,0
CZE,1,1948,1948,1,m,58,1,TL,2,O,380,.,.,.,0
CZE,1,1948,1948,1,m,58,1,TU,2,O,363,.,.,.,0
CZE,1,1948,1948,1,m,59,1,TL,2,O,404,.,.,.,0
CZE,1,1948,1948,1,m,59,1,TU,2,O,402,.,.,.,0
CZE,1,1948,1948,1,m,60,1,TL,2,O,470,.,.,.,0
CZE,1,1948,1948,1,m,60,1,TU,2,O,394,.,.,.,0
CZE,1,1948,1948,1,m,61,1,TL,2,O,435,.,.,.,0
CZE,1,1948,1948,1,m,61,1,TU,2,O,477,.,.,.,0
CZE,1,1948,1948,1,m,62,1,TL,2,O,489,.,.,.,0
CZE,1,1948,1948,1,m,62,1,TU,2,O,476,.,.,.,0
CZE,1,1948,1948,1,m,63,1,TL,2,O,512,.,.,.,0
CZE,1,1948,1948,1,m,63,1,TU,2,O,461,.,.,.,0
CZE,1,1948,1948,1,m,64,1,TL,2,O,476,.,.,.,0
CZE,1,1948,1948,1,m,64,1,TU,2,O,476,.,.,.,0
CZE,1,1948,1948,1,m,65,1,TL,2,O,532,.,.,.,0
CZE,1,1948,1948,1,m,65,1,TU,2,O,548,.,.,.,0
CZE,1,1948,1948,1,m,66,1,TL,2,O,534,.,.,.,0
CZE,1,1948,1948,1,m,66,1,TU,2,O,519,.,.,.,0
CZE,1,1948,1948,1,m,67,1,TL,2,O,513,.,.,.,0
CZE,1,1948,1948,1,m,67,1,TU,2,O,499,.,.,.,0
CZE,1,1948,1948,1,m,68,1,TL,2,O,571,.,.,.,0
CZE,1,1948,1948,1,m,68,1,TU,2,O,541,.,.,.,0
CZE,1,1948,1948,1,m,69,1,TL,2,O,629,.,.,.,0
CZE,1,1948,1948,1,m,69,1,TU,2,O,636,.,.,.,0
CZE,1,1948,1948,1,m,70,1,TL,2,O,622,.,.,.,0
CZE,1,1948,1948,1,m,70,1,TU,2,O,558,.,.,.,0
CZE,1,1948,1948,1,m,71,1,TL,2,O,572,.,.,.,0
CZE,1,1948,1948,1,m,71,1,TU,2,O,567,.,.,.,0
CZE,1,1948,1948,1,m,72,1,TL,2,O,653,.,.,.,0
CZE,1,1948,1948,1,m,72,1,TU,2,O,606,.,.,.,0
CZE,1,1948,1948,1,m,73,1,TL,2,O,578,.,.,.,0
CZE,1,1948,1948,1,m,73,1,TU,2,O,558,.,.,.,0
CZE,1,1948,1948,1,m,74,1,TL,2,O,613,.,.,.,0
CZE,1,1948,1948,1,m,74,1,TU,2,O,613,.,.,.,0
CZE,1,1948,1948,1,m,75,1,TL,2,O,603,.,.,.,0
CZE,1,1948,1948,1,m,75,1,TU,2,O,544,.,.,.,0
CZE,1,1948,1948,1,m,76,1,TL,2,O,540,.,.,.,0
CZE,1,1948,1948,1,m,76,1,TU,2,O,585,.,.,.,0
CZE,1,1948,1948,1,m,77,1,TL,2,O,618,.,.,.,0
CZE,1,1948,1948,1,m,77,1,TU,2,O,555,.,.,.,0
CZE,1,1948,1948,1,m,78,1,TL,2,O,569,.,.,.,0
CZE,1,1948,1948,1,m,78,1,TU,2,O,566,.,.,.,0
CZE,1,1948,1948,1,m,79,1,TL,2,O,531,.,.,.,0
CZE,1,1948,1948,1,m,79,1,TU,2,O,491,.,.,.,0
CZE,1,1948,1948,1,m,80,1,TL,2,O,495,.,.,.,0
CZE,1,1948,1948,1,m,80,1,TU,2,O,470,.,.,.,0
CZE,1,1948,1948,1,m,81,1,TL,2,O,434,.,.,.,0
CZE,1,1948,1948,1,m,81,1,TU,2,O,420,.,.,.,0
CZE,1,1948,1948,1,m,82,1,TL,2,O,404,.,.,.,0
CZE,1,1948,1948,1,m,82,1,TU,2,O,402,.,.,.,0
CZE,1,1948,1948,1,m,83,1,TL,2,O,371,.,.,.,0
CZE,1,1948,1948,1,m,83,1,TU,2,O,330,.,.,.,0
CZE,1,1948,1948,1,m,84,1,TL,2,O,316,.,.,.,0
CZE,1,1948,1948,1,m,84,1,TU,2,O,305,.,.,.,0
