Chile, Life tables (period 1x5), Males	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1992-1994        0      0.01499  0.01480  0.12  100000    1480   98697  7157251  71.57
1992-1994        1      0.00138  0.00138  0.50   98520     136   98452  7058554  71.65
1992-1994        2      0.00074  0.00074  0.50   98385      73   98348  6960102  70.74
1992-1994        3      0.00057  0.00057  0.50   98312      56   98284  6861753  69.80
1992-1994        4      0.00036  0.00036  0.50   98256      35   98238  6763469  68.84
1992-1994        5      0.00032  0.00032  0.50   98221      31   98205  6665231  67.86
1992-1994        6      0.00030  0.00030  0.50   98189      30   98175  6567026  66.88
1992-1994        7      0.00030  0.00030  0.50   98160      30   98145  6468851  65.90
1992-1994        8      0.00032  0.00032  0.50   98130      31   98115  6370706  64.92
1992-1994        9      0.00029  0.00029  0.50   98099      28   98085  6272591  63.94
1992-1994       10      0.00029  0.00029  0.50   98071      28   98057  6174506  62.96
1992-1994       11      0.00033  0.00033  0.50   98043      33   98027  6076450  61.98
1992-1994       12      0.00033  0.00033  0.50   98010      32   97994  5978423  61.00
1992-1994       13      0.00037  0.00037  0.50   97978      36   97960  5880429  60.02
1992-1994       14      0.00048  0.00048  0.50   97942      47   97919  5782469  59.04
1992-1994       15      0.00052  0.00052  0.50   97895      51   97870  5684550  58.07
1992-1994       16      0.00077  0.00077  0.50   97844      75   97807  5586680  57.10
1992-1994       17      0.00099  0.00099  0.50   97769      96   97721  5488873  56.14
1992-1994       18      0.00104  0.00104  0.50   97673     102   97622  5391152  55.20
1992-1994       19      0.00117  0.00117  0.50   97571     114   97514  5293530  54.25
1992-1994       20      0.00138  0.00137  0.50   97457     134   97390  5196016  53.32
1992-1994       21      0.00156  0.00156  0.50   97323     151   97247  5098626  52.39
1992-1994       22      0.00154  0.00154  0.50   97172     149   97097  5001379  51.47
1992-1994       23      0.00167  0.00167  0.50   97022     162   96942  4904282  50.55
1992-1994       24      0.00153  0.00153  0.50   96861     148   96787  4807341  49.63
1992-1994       25      0.00181  0.00181  0.50   96712     175   96625  4710554  48.71
1992-1994       26      0.00179  0.00179  0.50   96537     173   96451  4613929  47.79
1992-1994       27      0.00181  0.00181  0.50   96365     174   96277  4517478  46.88
1992-1994       28      0.00178  0.00178  0.50   96190     171   96105  4421201  45.96
1992-1994       29      0.00179  0.00179  0.50   96019     171   95933  4325096  45.04
1992-1994       30      0.00192  0.00192  0.50   95847     184   95756  4229163  44.12
1992-1994       31      0.00176  0.00176  0.50   95664     168   95580  4133407  43.21
1992-1994       32      0.00204  0.00204  0.50   95496     195   95398  4037827  42.28
1992-1994       33      0.00196  0.00195  0.50   95301     186   95208  3942429  41.37
1992-1994       34      0.00198  0.00198  0.50   95115     188   95020  3847221  40.45
1992-1994       35      0.00229  0.00229  0.50   94926     217   94818  3752201  39.53
1992-1994       36      0.00227  0.00227  0.50   94709     215   94601  3657383  38.62
1992-1994       37      0.00241  0.00241  0.50   94494     228   94380  3562782  37.70
1992-1994       38      0.00244  0.00244  0.50   94266     230   94151  3468402  36.79
1992-1994       39      0.00256  0.00256  0.50   94036     240   93916  3374251  35.88
1992-1994       40      0.00271  0.00270  0.50   93796     254   93669  3280335  34.97
1992-1994       41      0.00310  0.00309  0.50   93542     289   93397  3186666  34.07
1992-1994       42      0.00344  0.00344  0.50   93253     320   93093  3093269  33.17
1992-1994       43      0.00324  0.00323  0.50   92932     301   92782  3000177  32.28
1992-1994       44      0.00345  0.00344  0.50   92632     319   92472  2907394  31.39
1992-1994       45      0.00444  0.00443  0.50   92313     409   92109  2814922  30.49
1992-1994       46      0.00479  0.00478  0.50   91904     439   91685  2722813  29.63
1992-1994       47      0.00485  0.00484  0.50   91465     443   91244  2631128  28.77
1992-1994       48      0.00511  0.00510  0.50   91023     464   90790  2539884  27.90
1992-1994       49      0.00562  0.00560  0.50   90558     507   90305  2449094  27.04
1992-1994       50      0.00641  0.00639  0.50   90051     576   89763  2358789  26.19
1992-1994       51      0.00652  0.00650  0.50   89475     582   89184  2269026  25.36
1992-1994       52      0.00750  0.00747  0.50   88893     664   88561  2179842  24.52
1992-1994       53      0.00762  0.00759  0.50   88229     670   87894  2091281  23.70
1992-1994       54      0.00863  0.00860  0.50   87559     753   87183  2003386  22.88
1992-1994       55      0.00993  0.00988  0.50   86807     858   86378  1916203  22.07
1992-1994       56      0.01072  0.01066  0.50   85949     917   85491  1829826  21.29
1992-1994       57      0.01119  0.01113  0.50   85032     946   84559  1744335  20.51
1992-1994       58      0.01276  0.01268  0.50   84086    1066   83553  1659776  19.74
1992-1994       59      0.01403  0.01393  0.50   83020    1157   82442  1576223  18.99
1992-1994       60      0.01572  0.01560  0.50   81864    1277   81225  1493781  18.25
1992-1994       61      0.01755  0.01740  0.50   80586    1402   79885  1412556  17.53
1992-1994       62      0.01909  0.01891  0.50   79184    1497   78436  1332671  16.83
1992-1994       63      0.02019  0.01999  0.50   77687    1553   76911  1254235  16.14
1992-1994       64      0.02160  0.02137  0.50   76134    1627   75321  1177324  15.46
1992-1994       65      0.02278  0.02252  0.50   74507    1678   73668  1102004  14.79
1992-1994       66      0.02464  0.02434  0.50   72829    1773   71943  1028336  14.12
1992-1994       67      0.02817  0.02778  0.50   71056    1974   70069   956393  13.46
1992-1994       68      0.03182  0.03132  0.50   69082    2164   68000   886324  12.83
1992-1994       69      0.03500  0.03439  0.50   66918    2302   65767   818324  12.23
1992-1994       70      0.03976  0.03898  0.50   64617    2519   63357   752556  11.65
1992-1994       71      0.04310  0.04219  0.50   62098    2620   60788   689199  11.10
1992-1994       72      0.04770  0.04659  0.50   59478    2771   58092   628411  10.57
1992-1994       73      0.04916  0.04798  0.50   56707    2721   55346   570319  10.06
1992-1994       74      0.05344  0.05205  0.50   53986    2810   52581   514973   9.54
1992-1994       75      0.05974  0.05801  0.50   51176    2969   49692   462392   9.04
1992-1994       76      0.06868  0.06640  0.50   48207    3201   46607   412700   8.56
1992-1994       77      0.06854  0.06627  0.50   45006    2982   43515   366093   8.13
1992-1994       78      0.07778  0.07487  0.50   42024    3146   40451   322578   7.68
1992-1994       79      0.08626  0.08270  0.50   38878    3215   37270   282127   7.26
1992-1994       80      0.09299  0.08886  0.50   35663    3169   34078   244857   6.87
1992-1994       81      0.09771  0.09316  0.50   32494    3027   30980   210779   6.49
1992-1994       82      0.10882  0.10320  0.50   29467    3041   27946   179798   6.10
1992-1994       83      0.12507  0.11771  0.50   26426    3111   24871   151852   5.75
1992-1994       84      0.13171  0.12358  0.50   23315    2881   21875   126981   5.45
1992-1994       85      0.13947  0.13037  0.50   20434    2664   19102   105107   5.14
1992-1994       86      0.16260  0.15037  0.50   17770    2672   16434    86005   4.84
1992-1994       87      0.16760  0.15464  0.50   15098    2335   13931    69571   4.61
1992-1994       88      0.17302  0.15924  0.50   12763    2032   11747    55640   4.36
